T,M,a,b,c,d,e,f,g,h,i,j
0.098,0.004203929404250873,0.0037701360657038663,0.0061241344365240424,0.003477676458582324,0.005496315364091786,0.0035201841603467177,0.004163343465999669,0.0023630700060921495,0.0048019586640191125,0.002398915528026957,0.005923559893122099
0.1,0.0040426708733156905,0.003631419132375302,0.005892229840066987,0.003348587027751204,0.005290824511039349,0.0033918642100387864,0.0039915757228974336,0.002257931905910615,0.004606323494336095,0.0023067197792986383,0.005709233109442491
0.10200000000000001,0.0038879590501416763,0.00349793050682623,0.00566923652578144,0.003224837894012178,0.005093413671953595,0.0032686757283660883,0.0038271619073365626,0.002158021905366847,0.004419533509693263,0.0022180621167313674,0.005502716735349189
0.10400000000000001,0.003739506308239604,0.0033694754966708818,0.005454776721851351,0.003106183318387079,0.004903748324493917,0.003150395895672342,0.003669765042502049,0.0020630435303562455,0.0042411442421808054,0.0021328072860008485,0.005303723224280521
0.106,0.0035970397935647267,0.0032458669566052256,0.005248492418773454,0.002992390403549039,0.0047215102587737645,0.00303681250657295,0.0035190659857676776,0.0019727199955832386,0.0040707363620408055,0.0020508258953179093,0.005111977152663205
0.108,0.0034603004073709307,0.003126924884193194,0.005050043929227477,0.0028832382236588794,0.004546396477877468,0.002927723328712162,0.003374762227019934,0.00188679264347269,0.003907913938792973,0.0019719940485208864,0.004927214372233646
0.11,0.003329041894281093,0.0030124760554079977,0.004859108611442453,0.002778517041095885,0.004378118197507663,0.002822935521448966,0.0032365668099512135,0.0018050195351645426,0.003752302877410685,0.0018961930185672493,0.004749181274814274
0.112,0.0032030300232165133,0.0029023536936322314,0.004675379743835473,0.002678027603562838,0.004216399931968762,0.0027222651029790157,0.003104207359590605,0.001727174181951674,0.003603549506762449,0.0018233089552962545,0.00457763415258583
0.114,0.00308204184817541,0.0027963971685036615,0.004498565514254649,0.002581580511266557,0.004060978659785386,0.002625536471347778,0.0029774251973158083,0.0016530443952311735,0.0034613193019585875,0.0017532326204930948,0.004412338641597402
0.116,0.0029658650388758147,0.0026944517220972575,0.004328388118128967,0.0024889956456144446,0.003911603059430502,0.002532581962437108,0.002855974533371053,0.0015824312439031152,0.0033252957225902158,0.0016858591468071893,0.004253069234378293
0.11800000000000001,0.002854297270980444,0.002596368215389777,0.004164582940035522,0.0024001016521788543,0.003768032809463029,0.0024432414486008636,0.0027396217238652154,0.0015151481073539808,0.003195179152279959,0.0016210878130165085,0.004099608847620728
0.12,0.0027471456673941576,0.0025020028956204143,0.004006897808937038,0.002314735466848794,0.0036300379462428367,0.002357361970721894,0.0026281445804174908,0.001451019809398657,0.00307068592300086,0.0015588218353289607,0.003951748437424629
