t,a,b,c,d,e,f,g,h,i,l,m,n,o,p,q,r
0.092,0.7752591847122624,0.0010861854563569385,0.008054713600197778,0.0034302224390277717,0.08812698358059662,0.00016283194374082933,0.006176022135514511,0.00039279794866302375,0.09686720896929758,0.0001398676031629702,0.0012196826238081552,0.00043628249106192465,0.017734156972334086,2.9808971898730356e-05,0.0008044012599724004,7.964929210420908e-05
0.094,0.7799859750798002,0.0011808542239872247,0.008276223889885389,0.0036083270447177106,0.08591339345638223,0.0001730636945168756,0.006347016154676036,0.00039988093767368964,0.0942889671465343,0.0001470428041283839,0.0012112344277418498,0.0004438252150437773,0.017112599389005615,3.111066175922286e-05,0.0008002647331876956,8.02211409599612e-05
0.096,0.7845394733227687,0.0012788707598203185,0.008500116312241787,0.0037855855879365,0.0837586181155304,0.0001833223428515316,0.006516150054726428,0.0004061223655839937,0.09177420253166146,0.00015403213243996787,0.0012029841465283945,0.00045039072221510733,0.01654130059414719,3.240102059005843e-05,0.0007956836421808625,8.074634877740014e-05
0.098,0.7889245093382787,0.0013800823012016731,0.008726137180137749,0.003961716283963594,0.08166236237607126,0.0001935874685945426,0.006683261906409116,0.0004115576573453985,0.08932256017275512,0.00016081631098166472,0.001194918881027178,0.00045601620099624504,0.016016862153323937,3.368233865228541e-05,0.0007906898595446131,8.123957071673345e-05
0.1,0.7931458737408571,0.0014843311807168243,0.008954033273419692,0.0041364595149975345,0.07962422070233074,0.00020384048900889726,0.0068482045400050165,0.00041622432352603656,0.08693358011994197,0.00016737870018615903,0.0011870276416637764,0.00046074124477144977,0.015536097958394498,3.495703197666813e-05,0.0007853156858770581,8.171385232674168e-05
0.10200000000000001,0.7972083100181151,0.0015914558348447867,0.009183552834223108,0.004309576998469323,0.07764368826723111,0.000214064602205275,0.007010844924894513,0.00042016138162107817,0.08460670808531759,0.00017370519099585487,0.0011793012148310722,0.00046460722760602416,0.015096021634189216,3.622757750369339e-05,0.0007795935206666665,8.218068728558584e-05
0.10400000000000001,0.8011165075124438,0.0017012917469356203,0.009414446477838467,0.004480850930632385,0.07572017124262201,0.00022424471837910316,0.007171063539755004,0.0004234088470419586,0.08234130534214928,0.00017978408446108992,0.001171732024895718,0.00046765675525814205,0.014693834652533506,3.749645682244873e-05,0.0007735555784576303,8.265008977410135e-05
0.106,0.8048750951719432,0.001813672325178347,0.009646468021660857,0.004650083113614312,0.07385299636206977,0.00023436738165183023,0.007328753738449806,0.000426007287849322,0.08013665790876114,0.00018560596135355374,0.0011643139942565076,0.00046993318486100364,0.0143269151169599,3.8766108053612025e-05,0.0007672336461375123,8.313067719916264e-05
0.108,0.8084886360168041,0.0019284297166486948,0.009879375235062198,0.00481709407316606,0.07204141979848452,0.000244420684963037,0.007483821116022871,0.0004279974376150417,0.0779919850602779,0.0001911635447427244,0.001157042403529473,0.0004714802070490897,0.013992807183094784,4.0038885349425715e-05,0.0007606588774337189,8.362975975638946e-05
0.11,0.8119616222702201,0.002045395558881476,0.010112930513268345,0.004981722173469985,0.07028463539696521,0.00025439418013558545,0.007636182878627645,0.00042941986112696585,0.07590644720925108,0.00019645155809034596,0.0011499137535989762,0.00047234148470064495,0.013689211081295,4.131702543876552e-05,0.0007538616209535404,8.415343397626021e-05
0.112,0.8152984711057252,0.002164401670706653,0.010346901478510518,0.005143822734566188,0.06858178230130609,0.00026427878494103953,0.0077857672206852364,0.0004303146679804335,0.07387915319411134,0.00020146658106099614,0.0011429256309729331,0.00047256034286199895,0.0134139737096469,4.260262062253441e-05,0.0007468712783502128,8.47066779517971e-05
0.114,0.8185035209655085,0.0022852806843274105,0.010581061511856893,0.005303267157223174,0.0669319520107263,0.00027406668872571345,0.00793251271208327,0.0004307212694284793,0.07190916701238242,0.00020620690492384697,0.001136076577611471,0.0004721795048038805,0.013165079766924988,4.389759761886138e-05,0.0007397161894413956,8.529344641345187e-05
0.116,0.8215810284068619,0.002407866620808873,0.010815190219222143,0.00545994205941041,0.06533419490156589,0.00028375125791740645,0.008076367697789653,0.0004306781741844126,0.06999551403365799,0.0002106723891298768,0.0011293659661597386,0.000471240869532458,0.012940643396540191,4.5203701665030725e-05,0.0007324235413441606,8.591676420986292e-05
0.11800000000000001,0.8245351654363802,0.0025319954112927724,0.011049073835105689,0.005613748427922954,0.06378752624693344,0.0002933269425175521,0.008217289711861708,0.0004302228191833102,0.06813718672548107,0.00021486432038803012,0.0011227938813049912,0.0004697853264361355,0.012738900313889258,4.6522485300471e-05,0.0007250192989201389,8.657881708235862e-05
0.12,0.8273700172939148,0.0026575053663615935,0.01128250556762815,0.0057646007881583085,0.062290931765595504,0.0003027891844914759,0.008355244907477757,0.0004293914316107826,0.06633314992347843,0.00021878527533109442,0.0011163610077934147,0.0004678526030915194,0.012558200390847173,4.78553012798425e-05,0.0007175281540445168,8.72810388956237e-05
0.122,0.8300895806505547,0.0027842375960500103,0.011515285888424922,0.00591242639454909,0.06084337272976623,0.00031213432879903747,0.008490207504302254,0.0004282189187966162,0.06458234567538657,0.0002224389876553153,0.0011100685254812066,0.00046548114257733645,0.012397000672424692,4.9203299095119565e-05,0.0007099734914221088,8.802419471476872e-05
0.124,0.8326977621870756,0.0029120363830460933,0.011747222770919736,0.006057164443708322,0.059443790659884706,0.0003213595376574639,0.00862215925421402,0.0004267387828464768,0.0628836976869632,0.00022583022043498848,0.001103918011655206,0.00046270800695275444,0.01225385880184358,5.056742461882498e-05,0.0007023773688721584,8.880845930701268e-05
0.126,0.8351983775213733,0.003040749511643722,0.011978131880443794,0.006198765311943643,0.05809111163296157,0.0003304627084960296,0.008751088926177528,0.0004249830571460944,0.06123611539620609,0.00022896464415248993,0.001097911350738849,0.00045956880384624227,0.012127426831464014,5.194842241584332e-05,0.0006947605101904745,8.963349080024303e-05
0.128,0.837595150455373,0.0031702285550043656,0.012207836719590383,0.006337189818438802,0.05678425022963053,0.00033944239594683,0.008876991810816392,0.0004229822621188555,0.05963849770079838,0.00023184872084354194,0.001092050651397531,0.0004560976333727571,0.012016445398132476,5.334684030741048e-05,0.0006871423088728623,9.049849935597527e-05
0.13,0.839891712513775,0.0033003291232641158,0.012436168732104421,0.006472408515082284,0.05552211314365573,0.00034829773811572356,0.00899986924505425,0.0004207653778493896,0.0580897363622658,0.0002344895946351665,0.001086338170971839,0.0004523270528508913,0.011919738242605397,5.476303580708272e-05,0.0006795408411476132,9.140231081510806e-05
0.132,0.842091602748799,0.003430911074983528,0.012662967368503803,0.006604401003640636,0.05430360247632299,0.0003570283872911506,0.009119728157018508,0.0004183598314026479,0.056588719108964236,0.0002368949888480434,0.0010807762470958734,0.0004482880570280308,0.011836207053745135,5.619718408406625e-05,0.000671972886917282,9.234342535516311e-05
0.134,0.8441982677867628,0.003561838694385906,0.012888080116516664,0.006733155280724754,0.05312761873687565,0.000365634445174616,0.00923658063125448,0.0004157914968703556,0.055134332458713256,0.0002390731097442531,0.0010753672362994343,0.00044401007174107483,0.011764826619180924,5.7649287143732175e-05,0.0006644539573513566,9.332007126067007e-05
0.136,0.846215062093962,0.0036929808367666874,0.013111362499299062,0.006858667110778686,0.0519930635689503,0.00037411640265391116,0.009350443494169898,0.0004130847063649988,0.053725464280653286,0.00024103255692415983,0.0010701134593458545,0.0004395209591435109,0.01170464026508058,5.9119183948090695e-05,0.0006569983280021695,9.433025395681845e-05
0.138,0.848145248440815,0.003824211044384392,0.013332678044271533,0.006980939427129075,0.05089884222181406,0.0003824750840874242,0.009461337919519775,0.00041026227035609265,0.0523610061147255,0.0002427822403110549,0.0010650171530202357,0.0004348470328172808,0.01165475556858865,6.060656123019e-05,0.0006496190764368651,9.537180049284042e-05
0.14,0.8499919985446985,0.003955407635064286,0.013551898225283852,0.0070999817609674505,0.049843865784109806,0.00039071159602411176,0.009569289053648353,0.00040734550590497875,0.051039855266056554,0.0002443313036078617,0.0010600804280547166,0.0004300130812607103,0.0116143403273562,6.211096478567698e-05,0.0006423281234889887,9.644239968787688e-05
0.14200000000000002,0.8517583938732454,0.00408645376566089,0.013768902380685066,0.007215809697994113,0.04882705319677109,0.0003988272802478168,0.009674325660125773,0.00040435427150335257,0.04976091669046838,0.00024568905406548603,0.00105530523285694,0.00042504239840255854,0.011582618771416418,6.363181105200752e-05,0.0006351362773347443,9.753963817005615e-05
0.14400000000000002,0.8534474265911686,0.004217237472436338,0.013983577609743052,0.007328444362329765,0.04784733306077627,0.0004068236710057368,0.009776479783351402,0.00040130700735779563,0.04852310468632861,0.0002468648983661893,0.0010506933226941246,0.00041995681993778865,0.01155886800345083,6.516839881098659e-05,0.0006280532796917503,9.866103255068218e-05
0.146,0.8550620006348877,0.004347651690319579,0.014195818649724764,0.0074379119271969045,0.04690364525446923,0.00041470245625810115,0.009875786430641636,0.000398220780088403,0.04732534440700467,0.0002478682843966614,0.0010462462339771658,0.0004147767644137674,0.011542414654244226,6.67199208734556e-05,0.0006210878535227045,9.980405798105185e-05
0.148,0.8566049329003698,0.0044775942529175095,0.014405527735816187,0.007544243151785622,0.045994942374278355,0.0004224654427687372,0.009972283272276129,0.0003951113309248124,0.046166573207283214,0.00024870864866334455,0.001041965263286103,0.00040952127811704826,0.01153263174084329,6.82854756260635e-05,0.0006142477517032845,0.00010096617334057331
0.15,0.858078954530682,0.004606967875054526,0.01461261444593098,0.007647472943646173,0.04512019101181833,0.000430114524843517,0.010066010358942116,0.00039199312658822155,0.0450457418362654,0.00024939536908619517,0.001037851450779437,0.00040420808292148855,0.011528935715616608,6.986407833922636e-05,0.0006075398061834025,0.00010214484330245376
0.152,0.8594867122907557,0.004735680119522207,0.014816995532328793,0.007747639945891663,0.04427837287955405,0.00043765165651500295,0.010157009855989855,0.0003888794121439401,0.0439618154884427,0.00024993772289568465,0.0010339055676343736,0.00039885362635890665,0.011530783695062356,7.14546721526747e-05,0.0006009699772340484,0.0001033375575180227
0.154,0.860830770017818,0.004863643349626869,0.015018594741839756,0.00784478614844735,0.043468485796445716,0.000445078826966432,0.01024532579389325,0.00038578226519631536,0.04291377472389863,0.0002503448493507787,0.0010301281071726277,0.0003934731332645758,0.011537670857826776,7.305613867051149e-05,0.0005945434024289454,0.0001045418471534053
0.156,0.8621136101368361,0.004990774669029959,0.015217342626370292,0.007938956522546645,0.04268954454427309,0.0004523980389859372,0.010331003834296656,0.00038271265087708737,0.04190061626786464,0.0002506257169922574,0.0010265192793363115,0.00038808065843223713,0.011549128001982413,7.466730811155407e-05,0.0005882644450615287,0.00010575529900329251
0.158,0.8633376352311586,0.005116995850285289,0.01541317634524827,0.00803019867764711,0.041940581604656725,0.0004596112902421805,0.010414091051021567,0.0003796804771499548,0.04092135369918266,0.00025078909514551155,0.0010230790081902578,0.00038268913978768747,0.011564719252171037,7.6286968973026e-05,0.0005821367417437977,0.00010697556739641677
0.16,0.8645051696593223,0.005242233253388336,0.015606039460852324,0.008118562539921048,0.04122064778614957,0.0004667205571749265,0.010494635725404133,0.00037669465001893463,0.03997501803658997,0.00025084352938937576,0.0010198069321404137,0.00037731045165697013,0.011584039907743947,7.791387717650665e-05,0.000576163248974821,0.00010820038409640445
0.162,0.8656184612097273,0.005366417735566577,0.01579588172886169,0.008204100051464061,0.040528812750165656,0.0004737277812981836,0.010572687155335984,0.00037376312828650045,0.039060658231142964,0.00025079732071219674,0.0010167024065723881,0.0003719554577653822,0.011606714423532827,7.954676467455335e-05,0.0005703462885034702,0.00010942756639024179
0.164,0.866679682785569,0.005489484553456331,0.01598265888435867,0.00828686488936002,0.039864165443938684,0.0004806348577190374,0.010648295477385777,0.0003708929775599914,0.03817734157253197,0.00025065850808279866,0.0010137645086294538,0.00036663406365745644,0.011632394515358557,8.118434750468762e-05,0.0005646875913427074,0.00011065502354490588
