t,ex0,to0,cg0,ex1,to1,cg1,ex2,to2,cg2
0.41000000000000003,0.6880841327890792,0.5470149213105051,0.5511761464511413,0.6571613338012758,0.6375535585870968,0.5181078700968978,0.6040034568647243,0.6742463186431192,0.4662976629528936
0.42,0.6743277798340371,0.5300106381759865,0.5382161027630827,0.6425789237349786,0.6224509460945215,0.5051751652494116,0.5881463715304316,0.6601173098896838,0.45350185132173604
0.43,0.6603846337370955,0.5130465509198043,0.5252420266415538,0.6278467289283944,0.6072228035255315,0.492267720136584,0.5722168011915942,0.6458169640440583,0.4407911472326866
0.44,0.6462635081770011,0.4961421054040407,0.512258708476236,0.6129766031086482,0.5918830176969421,0.4793898550596749,0.5562323448287414,0.6313552337200692,0.4281687767225256
0.45,0.6319733415179334,0.47931602683825714,0.499270852183241,0.5979805426353579,0.5764456354744472,0.46654576359342753,0.5402107803205023,0.6167421891330873,0.4156377836986998
0.46,0.6175231968095048,0.46258644476849775,0.4862830752051105,0.5828706865006354,0.5609248637726186,0.45373951258606826,0.5241700644436078,0.6019880181000284,0.40320102993932105
0.47000000000000003,0.6029222617867607,0.4459708930772897,0.4732999085108167,0.567659316329086,0.5453350695549066,0.44097504215930755,0.5081283328728885,0.5871030260393518,0.39086119509316697
0.48,0.5881798488701788,0.42948630998364273,0.46032579659576206,0.5523588563778086,0.5296907798336408,0.4282561657083389,0.49210390009712285,0.5720976359710619,0.37862077667968064
0.49,0.5733053951656701,0.4131490380430491,0.44736509748177894,0.5369818735363958,0.5140066816700269,0.4155865699018396,0.47611357282195665,0.5569823885167071,0.3664820900889707
0.5,0.5583084624645783,0.3969748241474841,0.43442208271713056,0.5215410773269338,0.4982976221741513,0.4029698146819699,0.46017186200002835,0.5417679418993804,0.3544472685818121
0.51,0.54319873724368,0.3809788195254057,0.42150093737650973,0.5060493199040027,0.4825786085049776,0.3904093332643743,0.4442933868704513,0.5264650719437192,0.34251826328964496
0.52,0.5279860306651842,0.3651755797417544,0.4086057600610402,0.490519596054676,0.466864807870348,0.3779084321381804,0.4284923281512031,0.5110846720759048,0.3306968432145745
0.53,0.5126802785767333,0.34957906469795363,0.39574056289827564,0.4749650431985204,0.4511705531459125,0.36547029106599915,0.4127824280391262,0.4956377533236638,0.3189845952293724
0.54,0.4972915415114023,0.33420263863190974,0.3829092715422,0.4593989413875974,0.43550409624585945,0.3530979630839254,0.39717699020992747,0.48013544431626665,0.3073829240774759
0.55,0.4818300046876992,0.31905907011801127,0.3701157251732272,0.4438347133064606,0.41987777043006413,0.34079437450153716,0.38168887981817845,0.46458899128452846,0.29589305237298746
0.56,0.4663059780095643,0.3041605320671299,0.3573636764982021,0.42828441671486905,0.40430465975001845,0.32856232490189585,0.36633052349731526,0.449009758060808,0.28452169346887984
0.5700000000000001,0.45072989606637137,0.28951860172662003,0.3446567917503993,0.4127501602242613,0.38879748958693355,0.316404487141547,0.3511139093596385,0.43340922607900967,0.27327688548100626
0.58,0.43511231813292683,0.27514426068031883,0.33199865068952394,0.39724206835162806,0.3733686266517404,0.3043234073505191,0.33605058699631357,0.41779899437458135,0.2621606966147854
0.59,0.41946392816946954,0.2610478948485457,0.31939274660171113,0.3817721529901134,0.35803007898508865,0.29232337556838955,0.32115166747737,0.40219077958451543,0.251175108493462
0.6,0.4037955348216715,0.24723929448810333,0.3068424877156533,0.36635211135136214,0.342793495957348,0.2804116751802817,0.3064278233517025,0.3865964159473493,0.24032202065760566
0.61,0.3881180714206377,0.2337276541922771,0.2943521587848943,0.3509933259655186,0.3276701682686073,0.268591879384994,0.29188928864706976,0.3710278553031636,0.22960325056511122
0.62,0.37244259598290586,0.2205215728908348,0.28192647470226617,0.33570686468122735,0.31267102794867474,0.25686729909138456,0.27754585887009564,0.3554971670935847,0.21902053359119822
0.63,0.3567788008306415,0.20762905385002722,0.26956953683796603,0.32050348066563283,0.29780664835707815,0.24524114986360465,0.26340689100626813,0.34001334547032697,0.20857552302841117
0.64,0.34112186355545926,0.19505750467258798,0.25728534933907576,0.30539361240437946,0.28308724418306447,0.2337165519210991,0.24948130351994002,0.32457639521873677,0.1982697900866196
0.65,0.32547803622234284,0.18281373729773293,0.24507781912956209,0.29038738370161177,0.26852267144560027,0.222296530138606,0.2357775763543285,0.30919589673539843,0.18810482389301786
0.66,0.3098575860804848,0.17090396800116114,0.23295075591027634,0.27549460367997397,0.25412242749337133,0.2109840140461569,0.22230375093151566,0.2938821886154242,0.1780820314921254
0.67,0.2942705492550839,0.15933381739505437,0.22090787215895463,0.2607247667806106,0.2398956510047829,0.19978183782907663,0.20906743015244794,0.2786453446699526,0.16820273784578646
0.68,0.27872673074734533,0.14810831042807682,0.20895278313021792,0.24608705276316598,0.2258511219879597,0.18869274032798344,0.19607577839693618,0.2634951739261484,0.15846818583317032
0.6900000000000001,0.2632357044344804,0.13723187638537565,0.1970890068555718,0.23159032670578442,0.2119972617807458,0.17771936503878902,0.18333552152365618,0.24844122062720259,0.14887953625077116
0.7000000000000001,0.2478068130697068,0.12670834888858085,0.18531996414340662,0.21724313900511033,0.19834213305070464,0.16686426011269836,0.17085294687014824,0.23349276423233228,0.1394378678124081
0.71,0.23244916828224874,0.11654096589580493,0.17364897857899766,0.20305372537628819,0.18489343979511924,0.1561298783562099,0.158633903252817,0.2186588194167811,0.13014417714922535
0.72,0.21717165057733603,0.10673236970164307,0.16207927652450457,0.1890300068529619,0.17165852734099157,0.14551857723111528,0.14668380096693184,0.20394813607181828,0.12099937880969172
0.73,0.20198290933620539,0.09728460693717322,0.15061398711897206,0.175179589787276,0.1586443823450434,0.13503261885449963,0.1350076117866268,0.18936919930473986,0.11200430525960117
0.74,0.1868913628160996,0.08819912856995654,0.13925614227832944,0.16150976584987464,0.14585763279371583,0.12467416999874151,0.12360986896490023,0.17493022943886793,0.10315970688207268
0.75,0.1719051981502678,0.07947678990403623,0.12800867669539093,0.14802751202990222,0.13330454800316927,0.11444530209151282,0.11249466723361551,0.16063918201355074,0.09446625197755015
0.76,0.15703237134796527,0.07111422575019039,0.11687442783985535,0.1347394906350028,0.12099103861928368,0.10434799121577887,0.1016656628035002,0.1465037477841628,0.0859245267638023
0.77,0.14228060729445383,0.06310285229620101,0.10585613595830626,0.12165204929132067,0.10892265661765821,0.09438411810979824,0.09112607336414646,0.13253135272210478,0.07753503537592285
0.78,0.12765739975100127,0.05543748209809238,0.09495644407421208,0.10877122094350022,0.09710459530361149,0.08455546816712292,0.08087867808401139,0.11872915801480369,0.0692981998663304
0.79,0.11317001135488194,0.048112836706147716,0.08417789798792594,0.09610272385468538,0.0855416893121817,0.07486373143659841,0.07092581761041633,0.10510406006571271,0.0612143602047687
0.8,0.09882547361937627,0.04112349583624023,0.07352294627668554,0.08365196160652033,0.0742384146081263,0.06531050262236335,0.061269394069547234,0.09166269049431114,0.05328377427830616
0.81,0.08463058693377101,0.034463897369833095,0.06299394029461355,0.07142402309914936,0.06319888848592209,0.055897281083849976,0.0519108710664547,0.07841141613610475,0.04550661789133642
0.8200000000000001,0.07059192056335928,0.02812833735397937,0.052593134172717326,0.059423682551216495,0.05242686956976522,0.04662547083578367,0.042851273685053815,0.06535633904262511,0.037882984765577776
0.8300000000000001,0.05671581264944059,0.022110970001322186,0.042322684818888956,0.04765539949986597,0.041925757813571496,0.03749638054818355,0.03409118848812459,0.05250329648143043,0.030412886540073736
0.84,0.04300837020932047,0.01640580769009458,0.03218465191790543,0.03612331880074182,0.03169859450097584,0.028511223546361875,0.025630763517311472,0.039857860936105105,0.023096252771192483
0.85,0.029475469136310717,0.011006720964119393,0.02218099793142797,0.02483127062798801,0.021748062245332822,0.01967111781092401,0.017469708293122832,0.027425340106259244,0.01593293093262732
0.86,0.01612275419972964,0.0059074385328096585,0.012313588098003203,0.013782770474248696,0.012076484989716085,0.010977085977769141,0.009607293814932583,0.0152107769075297,0.008922686415396508
0.87,0.0029556390449017034,0.0011015472711682905,0.002584190433062017,0.0029810191506678962,0.0026858280069191887,0.0024300553380897094,0.0020423525609786775,0.0032189494715795797,0.0020652025278431463
0.88,-0.010020693806842285,-0.003417507780211937,-0.0070055242710796994,-0.007571097213110223,-0.006422302100545396,-0.005969142161628527,-0.005226721511636168,-0.008545628853902143,-0.0046399195043647645
0.89,-0.022801292958165298,-0.007656423415148175,-0.016453982445221393,-0.01787100716894191,-0.015246657400445729,-0.014219769919606384,-0.012200803264484972,-0.020078709505200076,-0.011193160538233993
0.9,-0.03538143813572381,-0.011622038261867654,-0.025759707743277738,-0.027916453950182885,-0.02378634863083029,-0.02232118667877142,-0.018878431502459894,-0.031376308702572575,-0.017595083513446907
0.91,-0.04775664019016845,-0.015321332783007693,-0.03492132104227863,-0.03770549547168939,-0.032040845200028034,-0.030272846526757657,-0.025263935486436424,-0.04243470745025202,-0.023846333452360202
0.92,-0.05992264109614309,-0.018761429275615596,-0.04393754044236925,-0.04723650432981741,-0.040009975186648894,-0.03807429889590591,-0.031362274798822296,-0.05325045153644414,-0.029947637460006227
0.93,-0.07187541395228586,-0.021949591871148713,-0.05280718126681011,-0.05650816780242296,-0.047689241612066544,-0.04572518856326341,-0.03717843037937404,-0.06382035153332877,-0.035899804724092266
0.9400000000000001,-0.08361116298122784,-0.024893226535474447,-0.06152915606197695,-0.06551948784886208,-0.05507515011134853,-0.05322525565058428,-0.04271740452519702,-0.07414148279705968,-0.04170372651500043
0.9500000000000001,-0.09512632352959449,-0.02759988106887032,-0.07010247459736063,-0.07426978110999094,-0.06217061128089352,-0.060574335624328846,-0.04798422089074539,-0.08421118546776385,-0.04736037618578809
0.96,-0.10641756206800479,-0.03007724510602379,-0.07852624386556734,-0.08275867890816557,-0.06897861978484879,-0.06777235929566455,-0.052983924487822076,-0.09402706446954234,-0.05287080917218756
0.97,-0.11748177619107131,-0.03233315011603244,-0.08679966808231865,-0.0909861272472422,-0.07550224579980677,-0.0748193528204652,-0.05772158168557899,-0.10358698951047057,-0.05823616299260642
0.98,-0.12831609461740062,-0.0343755694024038,-0.09492204868645121,-0.0989523868125769,-0.08174463501480461,-0.08171543769931122,-0.06220228021051667,-0.11288909508259665,-0.06345765724812708
0.99,-0.1389178771895928,-0.03621261810305555,-0.10289278433991694,-0.10665803297102583,-0.08770900863132447,-0.08846083077748979,-0.06643112914648452,-0.1219317804619433,-0.06853659362250725
