t,n2,n4,n10,n20,f2,f4,f10,f20
0.72,0.00839855483607858,0.000559376915486557,1.6898052833484867e-07,2.747373061065213e-12,0.009562752788605593,0.0006142451467127389,1.5420921980870455e-07,2.737478377415764e-12
0.73,0.008846134004053572,0.0006037806112484505,1.9688278409816007e-07,3.685254088166521e-12,0.009966760442293011,0.0006581025175072137,1.794751564253967e-07,3.657196832578842e-12
0.74,0.009310181565395023,0.0006509204568315427,2.2882071170226942e-07,4.921805754198467e-12,0.010381989819128067,0.0007044300112695544,2.084499504558168e-07,4.866697883293181e-12
0.75,0.009791005001402113,0.0007009127811883018,2.652918778046849e-07,6.54556023006335e-12,0.01080859464134566,0.000753330530346101,2.4161660434710386e-07,6.451412385780542e-12
0.76,0.010288909147212151,0.000753876113684267,3.0684355922910124e-07,8.670301712524979e-12,0.011246728631180689,0.0008049097960646383,2.795132463657024e-07,8.520276923969224e-12
0.77,0.010804196003686007,0.0008099311081547504,3.540762869921613e-07,1.1438910501562921e-11,0.01169654551086805,0.0008592763868287406,3.2273855938197973e-07,1.1211752472472796e-11
0.78,0.011337164551698259,0.0008692004619765784,4.076474845200313e-07,1.5032446319729775e-11,0.012158199002642645,0.0009165417762121152,3.7195766163522446e-07,1.470127254308565e-11
0.79,0.011888110568952477,0.0009318088301842488,4.6827517233309366e-07,1.968006931900811e-11,0.012631842828739375,0.000976820371052946,4.2790847041414255e-07,1.9210434576231485e-11
0.8,0.012457326449430074,0.0009978827346863643,5.367417197650074e-07,2.5669368960691755e-11,0.013117630711393135,0.0010402295495482382,4.914085812592445e-07,2.5018311713020417e-11
0.81,0.013045101025572423,0.001067550468620959,6.138976187900495e-07,3.336122845884458e-11,0.013615716372838826,0.0011068896993481608,5.633626970316221e-07,3.247533717921547e-11
0.8200000000000001,0.0136517193933106,0.0011409419959178518,7.006652454028401e-07,4.3204603725155676e-11,0.014126253535311347,0.0011769242556503921,6.447706429993045e-07,4.2020302303296706e-11
0.8300000000000001,0.014277462740030441,0.0012181888461200963,7.980425814409839e-07,5.575888258467659e-11,0.0146493959210456,0.001250459739294462,7.367360059694401e-07,5.4201113951327324e-11
0.84,0.014922608175577962,0.0012994240045466048,9.071068470488263e-07,7.171846924612817e-11,0.015185297252276473,0.001327625794856096,8.404754374437836e-07,6.970008050748193e-11
0.85,0.015587428566395316,0.0013847817978630624,1.0290180110133444e-06,9.194214120136548e-11,0.01573411125123888,0.001408555228741562,9.573286627981961e-07,8.936464046456507e-11
0.86,0.01627219237288038,0.0014743977751494016,1.1650221169621937e-06,1.174871175692329e-10,0.016295991640167713,0.0014933840472820096,1.088769240585926e-06,1.1424461765649959e-10
0.87,0.0169771634900463,0.0015684085845459029,1.3164543848621088e-06,1.4965495171801453e-10,0.016871092141297873,0.0015822514948278168,1.2364161182412663e-06,1.4563728610433482e-10
0.88,0.017702601091579034,0.0016669518455748116,1.4847420146321152e-06,1.9004095498152204e-10,0.01745956647686426,0.0016753000918429326,1.4020460327165632e-06,1.851417598597124e-10
0.89,0.018448759477361812,0.0017701660172369362,1.6714066300280693e-06,2.4059349557984203e-10,0.01806156836910177,0.0017726756729992224,1.5876068069235105e-06,2.347244942488405e-10
0.9,0.01921588792454099,0.0018781902619783794,1.8780662962419285e-06,3.036880305519155e-10,0.018677251540245302,0.00187452742527081,1.7952315952710882e-06,2.967980003926269e-10
0.91,0.020004230542213095,0.0019911643056448754,2.10643701932408e-06,3.822129628851807e-10,0.01930676971252976,0.0019810079260284236,2.0272541340993526e-06,3.743152414532759e-10
0.92,0.020814026129798532,0.002109228293529411,2.3583336515726084e-06,4.796673434446063e-10,0.019950276608190032,0.002092273181133736,2.2862250554025733e-06,4.708826042834598e-10
0.93,0.02164550803915761,0.0022325226426278795,2.6356701112946816e-06,6.00283471448586e-10,0.02060792594946103,0.0022084826630337138,2.574929324918935e-06,5.908948325903372e-10
0.9400000000000001,0.02249890404052714,0.002361187890229515,2.940458809942818e-06,7.49163390030368e-10,0.021279871458577647,0.0023297993488549562,2.896404868439202e-06,7.396958770639498e-10
0.9500000000000001,0.02337443619231733,0.002495364538957643,3.2748091902973794e-06,9.324439709955404e-10,0.021966266857774787,0.0024563897584980424,3.2539624530554584e-06,9.237702751145556e-10
0.96,0.024272320714835736,0.002635192898391478,3.6409252592684065e-06,1.1574876578252839e-09,0.02266726586928733,0.002588423992731871,3.6512068930353253e-06,1.1509704302874904e-09
0.97,0.02519276786797723,0.002780812923397737,4.041102001169376e-06,1.43310320815693e-09,0.023383022215350203,0.0027260757712880123,4.092059653069128e-06,1.430786033027141e-09
0.98,0.026135981832932417,0.002932364049300412,4.477720551414199e-06,1.7698074242506878e-09,0.024113689618198292,0.002869522470955042,4.580782924799195e-06,1.77466286595316e-09
0.99,0.02710216059795854,0.003089985024029678,4.95324199896134e-06,2.1801208418234044e-09,0.024859421800066495,0.003018945163672892,5.122005255804446e-06,2.1963793858614688e-09
1.0,0.028091495848238827,0.003253813737377594,5.47019969793856e-06,2.6789189325197573e-09,0.025620372483189713,0.003174528654627191,5.720748813581236e-06,2.7124907911176244e-09
1.01,0.029104172859879814,0.0034239870475052,6.031189948316931e-06,3.2838293877181774e-09,0.026396695389802848,0.00333646152034361,6.382458370535748e-06,3.34285178924003e-09
1.02,0.030140370398068474,0.0036006406048379614,6.638860930090497e-06,4.015694072144919e-09,0.027188544242140792,0.003504936146782204,7.113032099586098e-06,4.111231000230032e-09
1.03,0.03120026061941838,0.0037839086734909643,7.2958997500797245e-06,4.899094148615538e-09,0.027996072762438446,0.003680148767431761,7.918854273665836e-06,5.046031894528116e-09
1.04,0.032284008978523474,0.0039739239503574384,8.005017502342146e-06,5.9629599511375916e-09,0.028819434672930716,0.003862299501404139,8.806829966227304e-06,6.1811374015901745e-09
1.05,0.03339177413875178,0.004170817382015884,8.76893221781888e-06,7.2412577044982904e-09,0.029658783695852495,0.004051592391528615,9.784421853765197e-06,7.55689787086266e-09
1.06,0.034523707887277336,0.004374717979586567,9.5903496285382e-06,8.773775008452129e-09,0.030514273553438682,0.004248235442446224,1.0859689225420358e-05,9.221284960298666e-09
1.07,0.035679955054374754,0.0045857526316803385,1.0471941679341275e-05,1.0607018777496513e-08,0.03138605796792418,0.004452440658704111,1.2041329308883436e-05,1.1231237311856459e-08
1.08,0.036860653436983165,0.004804045915586525,1.141632274930111e-05,1.2795222493536106e-08,0.032274290661543886,0.004664424082849864,1.333872102609991e-05,1.3654227596923966e-08
1.09,0.038065933726540435,0.005029719906834861,1.2426023606508627e-05,1.540149208490356e-08,0.033179125356532696,0.004884405833525866,1.4761971296684616e-05,1.6570084730990614e-08
1.1,0.039295919441089906,0.005262893987270638,1.3503463164113439e-05,1.8499093974075395e-08,0.034100715775125516,0.0051126101435636385,1.63219640114876e-05,2.0073109825769008e-08
1.11,0.040550726861665054,0.00550368465178719,1.4650918184675946e-05,2.2172902728068346e-08,0.03503921563955724,0.005349265398078182,1.803041180341632e-05,2.427452983452761e-08
1.12,0.04183046497293338,0.005752205313847166,1.5870491181675633e-05,2.65210213800775e-08,0.035994778672062765,0.005594604172562317,1.9899910747414388e-05,2.9305338926001437e-08
1.1300000000000001,0.04313523540810447,0.0060085661099248495,1.7164076891010388e-05,3.165659491309632e-08,0.036967558594877,0.005848863270981039,2.194399812642662e-05,3.53195844751692e-08
1.1400000000000001,0.04446513239807968,0.006272873703010673,1.8533327841953973e-05,3.770982999170596e-08,0.03795770913023483,0.0061122837638658495,2.4177213405246646e-05,4.24981622753566e-08
1.1500000000000001,0.045820242724833954,0.006545231085297785,1.9979619761915314e-05,4.4830234126247866e-08,0.03896538400037117,0.006385111026409109,2.6615162559349267e-05,5.1053194254976e-08
1.16,0.04720064567901155,0.006825737380188897,2.150401780962548e-05,5.318909775301166e-08,0.03999073692752088,0.0066675947765583695,2.9274585911157473e-05,6.123307173357442e-08
1.17,0.048606413021708594,0.007114487643738164,2.3107244952354906e-05,6.298223309796888e-08,0.04103392163391892,0.006959989113110745,3.217342963168702e-05,7.332825819694596e-08
1.18,0.050037608950426374,0.007411572665656322,2.478965420674322e-05,7.443298032512424e-08,0.04209509184180016,0.0072625525538072225,3.533092107114947e-05,8.767795784351652e-08
1.19,0.05149429006915878,0.0077170787699916915,2.6551207000802343e-05,8.779550987443055e-08,0.04317440127339949,0.007575548073427018,3.8767648087885864e-05,1.0467776990129158e-07
1.2,0.05297650536259338,0.008031087615608619,2.8391460521760147e-05,1.0335841465638546e-07,0.04427200365095182,0.00789924314188193,4.2505642550943016e-05,1.247884640984273e-07
1.21,0.05448429617438394,0.008353675996564967,3.0309567771054775e-05,1.2144862639155875e-07,0.04538805269669205,0.008233909762310672,4.6568468197701405e-05,1.4854602986923467e-07
1.22,0.056017696189464034,0.008684915642503637,3.230429503141693e-05,1.4243564328371757e-07,0.04652270213285507,0.00857982450917322,5.098131303421811e-05,1.7657317108704975e-07
1.23,0.05757673142036382,0.009024873019151652,3.437406271739832e-05,1.6673609279738256e-07,0.04767610568167579,0.008937268566345162,5.577108647236215e-05,2.0959243955102785e-07
1.24,0.05916142019748701,0.009373609129034748,3.651701715807072e-05,1.9481861286192737e-07,0.0488484170653891,0.009306527765212026,6.096652140439737e-05,2.484412243515819e-07
1.25,0.06077177316330383,0.009731179312488989,3.8731142763495076e-05,2.272090652431672e-07,0.050039790006229906,0.009687892622763645,6.659828142241151e-05,2.940888408576653e-07
1.26,0.062407793270419995,0.010097633049064735,4.101442636890353e-05,2.6449604821715413e-07,0.05125037822643311,0.01008165837968848,7.269907339690137e-05,3.4765599269189706e-07
1.27,0.06406947578346643,0.010473013759406007,4.336508834428474e-05,3.073367065812485e-07,0.0524803354482336,0.010488125038467985,7.930376563590782e-05,4.1043691299699397e-07
1.28,0.06575680828476677,0.010857358607676344,4.578189832559785e-05,3.5646279809551153e-07,0.05372981539386628,0.010907597401470933,8.644951185335144e-05,4.839245278885994e-07
1.29,0.06746977068372596,0.011250698304607959,4.826459713159941e-05,4.126869756832947e-07,0.05499897178556605,0.011340385109047764,9.417588118265386e-05,5.698390256064782e-07
1.3,0.06920833522988927,0.011653056911244752,5.08144504204032e-05,4.769092315899859e-07,0.0562879583455678,0.011786802677624938,0.0001025249944793445,6.701602599235472e-07
1.31,0.07097246652961618,0.012064451643425648,5.343496356866226e-05,5.501234291509543e-07,0.05759692879610644,0.012247169537799269,0.00011154166716414863,7.87164466292793e-07
1.32,0.07276212156631054,0.012484892677083278,5.613279046806789e-05,6.334238351939898e-07,0.058926036859416886,0.012721810072432274,0.00012127355886603569,9.234658244884497e-07
1.33,0.07457724972414645,0.01291438295438422,5.891887033520609e-05,7.280115436076269e-07,0.06027543625773401,0.01321105365474451,0.0001317713301328781,1.082063462655983e-06
1.34,0.07641779281523312,0.01335291799076872,6.180982446729022e-05,8.352006558318977e-07,0.06164528071329271,0.01371523468640993,0.00014308880648573232,1.266394565298557e-06
1.35,0.07828368511015817,0.013800485682923977,6.482963664004077e-05,9.564240613701974e-07,0.0630357239483279,0.014234692635650218,0.0001552831501013123,1.4803943224196493e-06
1.36,0.08017485337183881,0.014257066117710512,6.801162328348884e-05,1.0932386487482238e-06,0.06444691968507447,0.014769772075329129,0.00016841503941597875,1.7285635394910593e-06
1.37,0.08209121689262606,0.014722631382076403,7.140066899719594e-05,1.2473297167558904e-06,0.06587902164576734,0.015320822721046847,0.00018254885695352305,2.0160448188606473e-06
1.3800000000000001,0.08403268753458916,0.01519714537396449,7.50556566698686e-05,1.4205143783453149e-06,0.06733218355264138,0.015888199469234313,0.00019775288568818348,2.3487083234565134e-06
