t,eto0,ecg0,eto1,ecg1,eto2,ecg2
1.8300000000000000711,0.26696357783110880035,0.00027495190409771211835,0.069643828768635465676,0.08321442000964496266,0.13051825409808884282,0.0996693532149903888
1.8400000000000000799,0.26366449145550602262,0.0014493185656135408167,0.068842691599879254905,0.083902396906958345846,0.12828882595200430394,0.099182758295658035586
1.8500000000000000888,0.26039249573987816033,0.0029492580305470251535,0.06803542683531155211,0.08456566723541655839,0.12607635708909775696,0.098682923656108811894
1.8600000000000000977,0.2571479641779932379,0.004435095675855603263,0.06722461956732551924,0.085202932199143516234,0.123881214364579772536,0.09817044147276510202
1.8700000000000001066,0.25393119464078239833,0.005900888864404971179,0.06641364543058073111,0.085812037204647001465,0.121703686938557750774,0.097645857491601845135
1.8800000000000001155,0.25074240951613091521,0.007345508094014660365,0.065602972014010246804,0.086393663619702062983,0.11954453796862513082,0.09710967440675571938
1.8900000000000001243,0.24758175623454664604,0.008768622815780545768,0.06479303733115668318,0.086948452951624163876,0.11740737815463601901,0.09656235541155464008
1.9000000000000001332,0.24444930817620438845,0.010170152719114394779,0.06398426433778543754,0.08747699461898822415,0.115292638827366775156,0.096004327912893414054
1.9100000000000001421,0.24134506595393542816,0.011550133101658286577,0.06317705787860387889,0.087979831551992196403,0.11320010591839713143,0.095435987400184121854
1.9199999999999999289,0.23826897713327102601,0.0129086700612137204175,0.062371801839628350506,0.08845746582409616532,0.111129592028215942734,0.094857822421101245514
1.9299999999999999378,0.23522114960290335661,0.014245922100811009986,0.061568856501382517032,0.08891036429572857225,0.10908093382215833245,0.09427059571830609386
1.9399999999999999467,0.23220154865528566668,0.015562091099031153188,0.060768556089231776096,0.089338964251877095446,0.10705398955009608197,0.09367479878560676376
1.9499999999999999556,0.22921005049576792523,0.016857417020397110624,0.059971206518189427992,0.089743679016471220034,0.10504863669088353173,0.09307087173073583242
1.9599999999999999645,0.22624650228085207981,0.018132174219472156629,0.059177083330462412758,0.09012490352758825707,0.103064769722378588024,0.09245922287093770453
1.9699999999999999734,0.22331072473800764322,0.019386668425559885204,0.058386429824829583213,0.090483019858659322066,0.101102298017708522315,0.0918402300828709689
