t,n1,n2,n5,n10,n15,n20,f1,f2,f5,f10,f15,f20
1.4000000000000001,0.021492587991808445,0.001726295244034584,1.1066062097379587e-06,1.5982410763328255e-10,2.990817824000024e-14,1.1291437566511848e-15,0.1234665282038236,0.026815257999258147,5.73793312029631e-05,9.379723809378062e-11,1.1821399103521455e-15,1.1821399103521455e-15
1.42,0.022001815625975335,0.0017888123202438714,1.1791726779556594e-06,1.8279911053214175e-10,3.6778612043219915e-14,1.2813490069415586e-15,0.12668270186439406,0.027924554195768832,6.240269143310282e-05,1.0956097158791262e-10,1.2676734380733507e-15,1.2676734380733507e-15
1.44,0.022514255633068338,0.001852495615002052,1.2546416440261398e-06,2.0855925458090935e-10,4.4903454123776996e-14,1.2335628273664683e-15,0.12993160157359793,0.02906251377641526,6.778516532145386e-05,1.2769494976041983e-10,1.2558439518740803e-15,1.272601465595269e-15
1.46,0.023029827459829268,0.001917341311648172,1.3329988995031913e-06,2.3737278288523225e-10,5.486131577691756e-14,1.3048072926061981e-15,0.13321293925612346,0.030229425366431167,7.35467960563801e-05,1.4851503767995176e-10,1.28044686014565e-15,1.2974803907531254e-15
1.48,0.023548451612242133,0.001983345301562051,1.4142190550594763e-06,2.6952440434021835e-10,6.672716311666558e-14,1.289439925312343e-15,0.1365264293705268,0.031425575042660726,7.970843752180446e-05,1.7237358344612053e-10,1.330531775224007e-15,1.3478611636739445e-15
1.5,0.02407004964390846,0.0020505031917937505,1.498264807405189e-06,3.0531659953107543e-10,8.090103865912684e-14,1.2150001244332514e-15,0.13987178888694562,0.03265124635601561,8.629177476554758e-05,1.9966341071046615e-10,1.1769967752707477e-15,1.205371955060234e-15
1.52,0.024594544144540105,0.0021188103125498576,1.5850861883868649e-06,3.450686476275991e-10,9.777271446622877e-14,1.3389728097426318e-15,0.14324873726500792,0.033906720353735216,9.331934466836237e-05,2.3082224031417125e-10,1.3036259367346513e-15,1.3297354180219165e-15
1.54,0.02512185872856769,0.0021882617245371112,1.6746197987218617e-06,3.891165132060936e-10,1.1772055824522511e-13,1.2098374922832816e-15,0.14665699643193686,0.0351922756014499,0.00010081455681248269,2.663356689520796e-10,1.131954589195533e-15,1.1765876270068222e-15
1.56,0.025651918023863133,0.0022588522261677503,1.7667880257539648e-06,4.378128108411719e-10,1.4136782030228168e-13,1.1883147037820922e-15,0.15009629076084616,0.0365081882050518,0.00010880171454489717,3.0674376654736245e-10,1.2184033819444534e-15,1.263793378238838e-15
1.58,0.026184647660577636,0.0023305763606279715,1.8614982461546727e-06,4.915255986346014e-10,1.6936733796843241e-13,1.2813490069415586e-15,0.15356634704922903,0.03785473183237122,0.00011730603623806422,3.5264445948778996e-10,1.2521579643661773e-15,1.3504306958671642e-15
1.6,0.026719974260090006,0.0024034284228104325,1.9586420151295137e-06,5.506371881072049e-10,2.0229843216431734e-13,1.3730596573203457e-15,0.157066894497635,0.03923217773466362,0.00012635367674289992,4.0469972731844697e-10,1.1578600236159615e-15,1.2662293152120488e-15
1.62,0.027257825424068377,0.0024774024661161497,2.0580942417998464e-06,6.15543524471361e-10,2.4088774494769715e-13,1.2929451619183702e-15,0.16059766468853415,0.04064079476790795,0.00013597174903303474,4.6364175611127e-10,1.1413584075055155e-15,1.279243008089485e-15
1.6400000000000001,0.027798129723641023,0.002552492309124559,2.159712353374329e-06,6.866516685759341e-10,2.860107779875126e-13,1.1977584128588085e-15,0.1641583915653685,0.04208084941391616,0.00014618834604007266,5.302786997457708e-10,1.0362907589042387e-15,1.183198409640193e-15
1.6600000000000001,0.02834081668867749,0.00262869154213719,2.263335448039008e-06,7.643783429041347e-10,3.3874027541209845e-13,1.0728167293465423e-15,0.16774881141178713,0.043552605801258214,0.00015703256267657906,6.055016970551361e-10,8.294227969709541e-16,1.0114613123884174e-15
1.68,0.028885816797177142,0.0027059935335933508,2.3687834386417324e-06,8.491470664222602e-10,4.002233213708729e-13,1.4307588678352454e-15,0.17136866283106403,0.04505632572600273,0.00016853451804551317,6.902930132316806e-10,1.0678684938098335e-15,1.292349197304123e-15
1.7,0.029433061464766444,0.0027843914363638016,2.475856188882134e-06,9.41385109742102e-10,4.713791291785246e-13,1.2259672624502659e-15,0.17501768672569779,0.04659226867227443,0.00018072537783568948,7.857322026199015e-10,9.599778530722948e-16,1.2180872009654837e-15
1.72,0.02998248303430035,0.0028638781939219655,2.584332644419471e-06,1.0415204761936449e-09,5.539361678000333e-13,1.2446758804062575e-15,0.17869562627719032,0.04816069183263147,0.00019363737689954313,8.93006272350709e-10,7.703109864630696e-16,1.0753270844771355e-15
1.74,0.030534014765571053,0.0029444465463947995,2.6939699606064974e-06,1.1499774062712793e-09,6.490336058489964e-13,1.1161917760958924e-15,0.18240222692600275,0.049761850128264055,0.00020730384201249946,1.0134181792285196e-09,5.737084865119032e-16,9.486764796347358e-16
1.76,0.03108759082511973,0.0030260890364970055,2.804502629980296e-06,1.2671717230187132e-09,7.58598089976173e-13,1.2372263817907275e-15,0.18613723635168972,0.051395996229013606,0.00022175921481363018,1.1483965567866185e-09,6.057141688996291e-16,1.0400010849839876e-15
1.78,0.031643146276151723,0.003108798015348548,2.9156416134932414e-06,1.3935057465997618e-09,8.844347186494136e-13,1.2827761084789717e-15,0.18990040445320694,0.05306338057321743,0.00023703907492393916,1.2995061528901232e-09,5.509324452557032e-16,1.0656117000158708e-15
1.8,0.032200617068554385,0.003192565648179134,3.0270734784916005e-06,1.5293614733014916e-09,1.0284143860329455e-12,1.2161883888976235e-15,0.19369148332939282,0.05476425138737751,0.0002531801632422759,1.468458724530171e-09,2.9796874070320123e-16,9.074842391027969e-16
1.82,0.03275994002901539,0.0032773839199196487,3.1384595495920593e-06,1.6750947760473717e-09,1.1929200892623277e-12,1.4158744573982094e-15,0.19751022725962117,0.05649885470565786,0.00027022040541527714,1.6571261330363352e-09,3.532708032038494e-16,1.0221629003393126e-15
1.84,0.03332105285124251,0.0033632446406849596,3.2494350776346156e-06,1.8310265072461257e-09,1.3804281824202156e-12,1.6692619457531082e-15,0.20135639268462532,0.058267434389208304,0.0002881989354831809,1.867551656772259e-09,3.9957426392311836e-16,1.008887494029267e-15
1.86,0.03388389408628154,0.0034501394511470885,3.359608433950248e-06,1.9974341606204476e-09,1.593068956123088e-12,1.816029305041277e-15,0.20522973818748996,0.06007023214531977,0.0003071561196965124,2.101964572392889e-09,5.102800490722269e-16,1.0688599735281082e-15
1.8800000000000001,0.03444840313293303,0.0035380598278026342,3.4685603394326826e-06,2.1745427661664442e-09,1.8342818109816227e-12,2.1947974797008846e-15,0.20913002447481083,0.06190748754641049,0.00032713358050386016,2.3627944100323765e-09,6.195464776079161e-16,9.51008255423814e-16
1.9000000000000001,0.03501452022826642,0.0036269970881357898,3.575843137890669e-06,2.3625130647097264e-09,2.1064569000117547e-12,2.423333568955285e-15,0.21305701435801985,0.06377943804884519,0.0003481742207089033,2.6526867314890368e-09,8.790239437513401e-16,8.903441835098303e-16
1.92,0.03558218643823117,0.0037169423956780827,3.680980129428483e-06,2.5614307994123438e-09,2.4131064487285204e-12,2.7997383580713486e-15,0.21701047273487523,0.06568631901158876,0.00037032224779556404,2.974519588018458e-09,1.1447282359412103e-15,1.0152623829513476e-15
1.94,0.036151343648362665,0.003807886764966875,3.783464976839693e-06,2.771292790950994e-09,2.7577644469824834e-12,3.3354072810915354e-15,0.22099016657111406,0.06762836371469515,0.00039362319841960205,3.331420528540706e-09,1.4331125889805547e-15,1.0381475795276397e-15
1.96,0.03672193455458264,0.00389982106640442,3.882761209432762e-06,2.991992894415126e-09,3.143646849785134e-12,3.9078480405499025e-15,0.22499586488226625,0.06960580337763474,0.0004181239630640189,3.726786141051834e-09,1.898012634567095e-15,9.260759171016359e-16
1.98,0.037293902654094435,0.0039927360310203445,3.978301847322325e-06,3.223306811125329e-09,3.5746998978725125e-12,4.670220982693539e-15,0.22902733871562794,0.07161886717746016,0.00044387281085825136,4.1643021614181345e-09,2.3304768703361992e-15,9.98140050409519e-16
2.0,0.03786719223637016,0.004086622255135843,4.069489180569632e-06,3.464875125987392e-09,4.054573153858729e-12,5.559799294975456e-15,0.23308436113239636,0.07366778226681048,0.0004709194145609806,4.64796337051763e-09,2.9604935384015673e-15,1.0149777964333666e-15
2.02,0.03844174837423007,0.004181470204935319,4.155694743778396e-06,3.71618521222522e-09,4.587269624525024e-12,6.59654918601273e-15,0.23716670718995767,0.07575277379175985,0.0004993148757002668,5.182097501036688e-09,3.6168614231479564e-15,9.334295403729119e-16
