 x	 y	 z	 xc	 yc
1.5759 0.9289 1.2462 1.2457 0.6886
1.5752 0.9323 1.2503 1.2435 0.6911
1.5772 0.9347 1.2478 1.2444 0.6931
1.5722 0.9341 1.2630 1.2373 0.6908
1.5736 0.9341 1.2540 1.2380 0.6907
1.5690 0.9266 1.2514 1.2322 0.6827
1.5685 0.9241 1.2445 1.2309 0.6800
1.5693 0.9170 1.2453 1.2304 0.6721
1.5705 0.9102 1.2373 1.2308 0.6651
1.5751 0.9115 1.2326 1.2345 0.6661
1.5784 0.9137 1.2247 1.2371 0.6682
1.5811 0.9141 1.2223 1.2387 0.6681
1.5811 0.9093 1.2246 1.2374 0.6625
1.5781 0.9113 1.2238 1.2332 0.6640
1.5803 0.9071 1.2277 1.2340 0.6588
1.5802 0.9035 1.2317 1.2324 0.6544
1.5871 0.9078 1.2353 1.2379 0.6579
1.5861 0.8994 1.2441 1.2351 0.6483
1.5953 0.8989 1.2396 1.2434 0.6475
1.5937 0.8978 1.2462 1.2402 0.6453
1.5952 0.8914 1.2452 1.2405 0.6383
1.6009 0.8887 1.2492 1.2446 0.6348
1.6050 0.8899 1.2408 1.2481 0.6359
1.6058 0.8843 1.2498 1.2471 0.6291
1.6055 0.8838 1.2508 1.2455 0.6280
1.6100 0.8883 1.2453 1.2491 0.6322
1.6104 0.8881 1.2471 1.2482 0.6313
1.6129 0.8762 1.2366 1.2500 0.6194
1.6188 0.8749 1.2372 1.2547 0.6175
1.6194 0.8729 1.2290 1.2546 0.6153
1.6147 0.8599 1.2165 1.2492 0.6024
1.6113 0.8564 1.2149 1.2447 0.5984
1.6119 0.8568 1.2174 1.2440 0.5980
1.6172 0.8554 1.2243 1.2477 0.5956
1.6188 0.8547 1.2171 1.2484 0.5948
1.6196 0.8612 1.2157 1.2481 0.6008
1.6151 0.8563 1.2232 1.2419 0.5948
1.6268 0.8603 1.2199 1.2527 0.5985
1.6277 0.8672 1.2212 1.2523 0.6047
1.6258 0.8615 1.2179 1.2494 0.5986
1.6264 0.8621 1.1976 1.2500 0.5999
1.6292 0.8529 1.2049 1.2511 0.5897
1.6269 0.8483 1.2036 1.2476 0.5845
1.6361 0.8545 1.2118 1.2552 0.5898
1.6318 0.8463 1.1979 1.2505 0.5818
1.6305 0.8398 1.2063 1.2474 0.5741
1.6283 0.8367 1.2036 1.2442 0.5706
1.6306 0.8335 1.2010 1.2454 0.5671
1.6343 0.8381 1.1910 1.2485 0.5717
1.6436 0.8419 1.1986 1.2563 0.5746
1.6447 0.8381 1.2021 1.2559 0.5700
1.6414 0.8316 1.2103 1.2509 0.5624
1.6429 0.8307 1.2034 1.2515 0.5613
1.6464 0.8301 1.2163 1.2531 0.5595
1.6520 0.8277 1.2089 1.2579 0.5569
1.6544 0.8310 1.2055 1.2593 0.5599
1.6550 0.8303 1.2087 1.2585 0.5585
1.6561 0.8303 1.2098 1.2583 0.5579
1.6548 0.8278 1.1922 1.2569 0.5559
1.6555 0.8297 1.1885 1.2566 0.5574
1.6605 0.8323 1.1910 1.2603 0.5593
1.6664 0.8355 1.1782 1.2657 0.5629
1.6603 0.8346 1.1737 1.2587 0.5617
1.6639 0.8333 1.1755 1.2611 0.5597
1.6675 0.8315 1.1747 1.2635 0.5575
1.6703 0.8261 1.1784 1.2648 0.5514
1.6710 0.8230 1.1717 1.2647 0.5481
1.6782 0.8196 1.1660 1.2711 0.5446
1.6727 0.8188 1.1707 1.2641 0.5430
1.6675 0.8200 1.1732 1.2575 0.5435
1.6747 0.8271 1.1844 1.2629 0.5494
1.6676 0.8141 1.1878 1.2544 0.5356
1.6664 0.8156 1.1859 1.2520 0.5367
1.6651 0.8216 1.1862 1.2495 0.5423
1.6684 0.8208 1.1944 1.2511 0.5404
1.6710 0.8169 1.1993 1.2522 0.5357
1.6789 0.8162 1.2062 1.2585 0.5341
1.6751 0.8150 1.2011 1.2538 0.5326
1.6735 0.8113 1.1876 1.2517 0.5292
1.6697 0.7988 1.1804 1.2470 0.5165
1.6694 0.8041 1.1755 1.2458 0.5216
1.6736 0.8029 1.1864 1.2482 0.5194
1.6774 0.7955 1.1771 1.2513 0.5119
1.6777 0.8002 1.1757 1.2506 0.5163
1.6761 0.7951 1.1773 1.2476 0.5105
1.6814 0.7970 1.1863 1.2512 0.5114
1.6815 0.7938 1.1835 1.2502 0.5079
1.6884 0.7879 1.1890 1.2556 0.5011
1.6967 0.7928 1.2078 1.2616 0.5045
1.6971 0.7880 1.2174 1.2602 0.4986
1.6984 0.7943 1.2204 1.2601 0.5042
1.6965 0.8000 1.2103 1.2575 0.5100
1.6960 0.7930 1.2086 1.2559 0.5026
1.6992 0.7884 1.2134 1.2575 0.4972
1.7020 0.7869 1.2147 1.2590 0.4951
1.6949 0.7918 1.2077 1.2510 0.4998
1.6977 0.7986 1.2114 1.2525 0.5060
1.6934 0.8037 1.2082 1.2472 0.5108
1.6923 0.8093 1.2136 1.2445 0.5156
1.6994 0.8149 1.2099 1.2506 0.5210
1.7014 0.8118 1.2131 1.2512 0.5172
1.7051 0.8121 1.2129 1.2536 0.5170
1.7066 0.8164 1.2163 1.2537 0.5206
1.7107 0.8162 1.2335 1.2555 0.5189
1.7029 0.8082 1.2235 1.2470 0.5109
1.7140 0.8081 1.2283 1.2566 0.5101
1.7111 0.8073 1.2328 1.2522 0.5085
1.7091 0.7952 1.2212 1.2495 0.4965
1.7128 0.7870 1.2295 1.2515 0.4873
1.7145 0.7825 1.2347 1.2516 0.4819
1.7119 0.7786 1.2320 1.2478 0.4777
1.7171 0.7728 1.2347 1.2515 0.4712
1.7121 0.7665 1.2369 1.2452 0.4642
1.7200 0.7662 1.2423 1.2514 0.4631
1.7209 0.7654 1.2397 1.2512 0.4620
1.7211 0.7659 1.2372 1.2503 0.4621
1.7270 0.7668 1.2454 1.2544 0.4620
1.7262 0.7605 1.2393 1.2527 0.4556
1.7308 0.7599 1.2377 1.2562 0.4546
1.7403 0.7573 1.2485 1.2638 0.4508
1.7374 0.7557 1.2502 1.2595 0.4486
1.7390 0.7588 1.2536 1.2595 0.4511
1.7406 0.7498 1.2416 1.2606 0.4422
1.7467 0.7541 1.2276 1.2663 0.4469
1.7536 0.7567 1.2300 1.2718 0.4490
1.7547 0.7585 1.2200 1.2723 0.4509
1.7559 0.7623 1.2261 1.2718 0.4539
1.7594 0.7565 1.2310 1.2738 0.4473
1.7634 0.7646 1.2204 1.2772 0.4556
1.7703 0.7611 1.2249 1.2826 0.4514
1.7794 0.7611 1.2170 1.2910 0.4514
1.7784 0.7628 1.2134 1.2889 0.4528
1.7865 0.7657 1.2246 1.2951 0.4547
1.7844 0.7607 1.2223 1.2919 0.4493
1.7896 0.7699 1.2168 1.2961 0.4585
1.7904 0.7702 1.2212 1.2955 0.4580
1.7942 0.7660 1.2307 1.2974 0.4529
1.7998 0.7655 1.2047 1.3033 0.4534
1.8036 0.7648 1.2020 1.3061 0.4525
1.8025 0.7659 1.2018 1.3037 0.4531
1.8061 0.7595 1.1963 1.3064 0.4466
1.8075 0.7576 1.1915 1.3068 0.4446
1.8083 0.7596 1.1889 1.3066 0.4464
1.8068 0.7579 1.1757 1.3045 0.4450
1.8069 0.7590 1.1709 1.3037 0.4459
1.8156 0.7563 1.1791 1.3107 0.4423
1.8218 0.7596 1.1632 1.3167 0.4463
1.8336 0.7599 1.1745 1.3267 0.4455
1.8342 0.7554 1.1654 1.3265 0.4412
1.8406 0.7611 1.1709 1.3315 0.4462
1.8388 0.7566 1.1649 1.3287 0.4416
1.8410 0.7578 1.1617 1.3300 0.4426
1.8412 0.7488 1.1683 1.3285 0.4328
1.8398 0.7450 1.1619 1.3262 0.4289
1.8405 0.7474 1.1663 1.3254 0.4307
1.8449 0.7429 1.1779 1.3279 0.4251
1.8465 0.7430 1.1734 1.3286 0.4250
1.8481 0.7423 1.1831 1.3283 0.4233
1.8485 0.7452 1.1821 1.3276 0.4259
1.8397 0.7387 1.1922 1.3168 0.4184
1.8440 0.7418 1.1870 1.3203 0.4214
1.8389 0.7434 1.1945 1.3134 0.4222
1.8361 0.7453 1.1943 1.3094 0.4236
1.8401 0.7446 1.2024 1.3116 0.4220
1.8449 0.7490 1.2105 1.3147 0.4256
1.8410 0.7500 1.2115 1.3095 0.4261
1.8438 0.7475 1.2082 1.3112 0.4234
1.8493 0.7454 1.2013 1.3158 0.4213
1.8474 0.7350 1.2031 1.3126 0.4103
1.8415 0.7322 1.2081 1.3050 0.4068
1.8525 0.7303 1.1998 1.3153 0.4050
1.8577 0.7316 1.2069 1.3188 0.4055
1.8613 0.7349 1.2091 1.3210 0.4082
1.8655 0.7381 1.2132 1.3238 0.4109
1.8598 0.7423 1.2120 1.3168 0.4147
1.8588 0.7417 1.2119 1.3146 0.4137
1.8584 0.7425 1.2122 1.3129 0.4141
1.8598 0.7489 1.2218 1.3125 0.4195
1.8599 0.7540 1.2192 1.3115 0.4244
1.8658 0.7585 1.2270 1.3157 0.4281
1.8636 0.7516 1.2295 1.3120 0.4205
1.8603 0.7443 1.2241 1.3076 0.4132
1.8628 0.7384 1.2245 1.3088 0.4068
1.8750 0.7459 1.2263 1.3197 0.4139
1.8721 0.7489 1.2258 1.3155 0.4166
1.8670 0.7401 1.2100 1.3101 0.4082
1.8624 0.7349 1.2245 1.3033 0.4017
1.8688 0.7327 1.2248 1.3084 0.3991
1.8694 0.7264 1.2158 1.3082 0.3928
1.8778 0.7306 1.2189 1.3152 0.3966
1.8783 0.7340 1.2179 1.3145 0.3996
1.8872 0.7432 1.2276 1.3216 0.4080
1.8934 0.7429 1.2336 1.3262 0.4069
1.9039 0.7520 1.2261 1.3359 0.4162
1.9115 0.7558 1.2246 1.3424 0.4198
1.9178 0.7521 1.2209 1.3476 0.4159
1.9193 0.7506 1.2221 1.3477 0.4140
1.9188 0.7529 1.2181 1.3462 0.4161
1.9315 0.7568 1.2340 1.3567 0.4188
1.9348 0.7503 1.2316 1.3588 0.4120
