 t	 a	 b	 c	 d
4.2693 0.9969 0.5245 0.9920 0.3152
4.2892 0.9969 0.5690 0.9898 0.3496
4.3092 0.9970 0.6119 0.9871 0.3850
4.3292 0.9971 0.6530 0.9841 0.4211
4.3491 0.9972 0.6924 0.9809 0.4579
4.3690 0.9974 0.7298 0.9775 0.4950
4.3890 0.9976 0.7651 0.9741 0.5323
4.4089 0.9979 0.7983 0.9708 0.5695
4.4289 0.9982 0.8292 0.9676 0.6065
4.4489 0.9984 0.8578 0.9648 0.6430
4.4688 0.9987 0.8839 0.9624 0.6788
4.4887 0.9990 0.9075 0.9606 0.7137
4.5087 0.9993 0.9286 0.9594 0.7474
4.5286 0.9995 0.9470 0.9589 0.7797
4.5486 0.9997 0.9627 0.9591 0.8104
4.5685 0.9998 0.9757 0.9601 0.8392
4.5885 0.9999 0.9860 0.9617 0.8661
4.6084 0.9999 0.9934 0.9640 0.8908
4.6284 0.9998 0.9981 0.9668 0.9133
4.6483 0.9997 0.9999 0.9701 0.9334
4.6683 0.9996 0.9988 0.9737 0.9511
4.6883 0.9994 0.9949 0.9774 0.9662
4.7082 0.9991 0.9882 0.9812 0.9786
4.7281 0.9989 0.9786 0.9848 0.9882
4.7481 0.9986 0.9663 0.9882 0.9950
4.7680 0.9983 0.9512 0.9913 0.9988
4.7880 0.9980 0.9334 0.9940 0.9996
4.8079 0.9977 0.9130 0.9961 0.9975
4.8279 0.9975 0.8900 0.9977 0.9923
4.8479 0.9972 0.8644 0.9988 0.9842
4.8678 0.9971 0.8365 0.9993 0.9733
4.8877 0.9969 0.8061 0.9993 0.9596
4.9077 0.9968 0.7735 0.9989 0.9432
4.9276 0.9968 0.7387 0.9981 0.9243
4.9476 0.9968 0.7018 0.9970 0.9030
4.9675 0.9968 0.6629 0.9957 0.8793
4.9875 0.9969 0.6222 0.9942 0.8535
5.0074 0.9970 0.5797 0.9927 0.8255
5.0274 0.9971 0.5356 0.9912 0.7957
5.0473 0.9972 0.4900 0.9898 0.7642
5.0673 0.9973 0.4431 0.9884 0.7311
5.0872 0.9975 0.3949 0.9871 0.6968
