 i	 j	 a	 b	 c	 d	 e	
15.0000 9.0000 0.0000 0.0002 0.0000 0.0000 0.0000
0.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 10.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 10.0000 0.0000 -0.0070 -0.0091 -0.0034 -0.0060
9.0000 10.0000 0.0000 0.0000 -0.0019 0.0000 0.0000
10.0000 10.0000 0.0000 0.0032 0.0201 0.0000 0.0002
11.0000 10.0000 0.0000 0.0002 0.0009 0.0000 0.0000
12.0000 10.0000 0.0000 -0.0003 0.0000 -0.0000 -0.0000
13.0000 10.0000 0.0000 0.0023 0.0000 0.0000 0.0002
14.0000 10.0000 0.0000 0.0002 0.0000 0.0000 0.0001
15.0000 10.0000 0.0000 0.0008 0.0000 0.0000 0.0001
0.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 11.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 11.0000 0.0000 0.0087 0.0123 0.0038 0.0068
9.0000 11.0000 0.0000 0.0154 0.0272 0.0026 0.0050
10.0000 11.0000 0.0000 0.0002 0.0009 0.0000 0.0000
11.0000 11.0000 0.0000 0.0173 0.0323 0.0028 0.0054
12.0000 11.0000 0.0000 -0.0021 -0.0000 -0.0000 -0.0002
13.0000 11.0000 0.0000 0.0004 0.0000 0.0000 0.0001
14.0000 11.0000 0.0000 0.0179 0.0001 0.0029 0.0056
15.0000 11.0000 0.0000 0.0002 0.0000 0.0000 0.0000
0.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 12.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 12.0000 0.0000 -0.0003 -0.0000 -0.0001 -0.0003
9.0000 12.0000 0.0000 -0.0019 -0.0000 -0.0000 -0.0002
10.0000 12.0000 0.0000 -0.0003 0.0000 -0.0000 -0.0000
11.0000 12.0000 0.0000 -0.0021 -0.0000 -0.0000 -0.0002
12.0000 12.0000 0.0000 0.0413 0.0003 0.0012 0.0029
13.0000 12.0000 0.0000 0.0016 0.0000 0.0000 0.0000
14.0000 12.0000 0.0000 -0.0057 -0.0001 -0.0000 -0.0002
15.0000 12.0000 0.0000 0.0003 0.0000 0.0000 0.0000
0.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 13.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 13.0000 0.0000 -0.0079 -0.0001 -0.0037 -0.0066
9.0000 13.0000 0.0000 0.0003 -0.0000 0.0000 0.0001
10.0000 13.0000 0.0000 0.0023 0.0000 0.0000 0.0002
11.0000 13.0000 0.0000 0.0004 0.0000 0.0000 0.0001
12.0000 13.0000 0.0000 0.0016 0.0000 0.0000 0.0000
13.0000 13.0000 0.0000 0.0079 0.0002 0.0000 0.0002
14.0000 13.0000 0.0000 0.0004 -0.0000 0.0000 0.0001
15.0000 13.0000 0.0000 0.0014 0.0000 0.0000 0.0001
0.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
1.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
2.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
3.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
4.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
5.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
6.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
7.0000 14.0000 0.0000 0.0000 0.0000 0.0000 0.0000
8.0000 14.0000 0.0000 0.0090 0.0000 0.0039 0.0070
9.0000 14.0000 0.0000 0.0160 0.0001 0.0027 0.0052
10.0000 14.0000 0.0000 0.0002 0.0000 0.0000 0.0001
11.0000 14.0000 0.0000 0.0179 0.0001 0.0029 0.0056
12.0000 14.0000 0.0000 -0.0057 -0.0001 -0.0000 -0.0002
13.0000 14.0000 0.0000 0.0004 -0.0000 0.0000 0.0001
14.0000 14.0000 0.0000 0.0199 0.0001 0.0030 0.0058
