i,j,a,b,c,d,e
11.0,11.0,0.12499999999999992,0.010734463527388553,0.000783665905412933,0.016017859719856083,0.0012407026168775623
12.0,11.0,0.12499999999999992,-3.316751633198484e-05,0.00015802926508798402,-0.0060933693620133225,-0.0019176293407874721
13.0,11.0,0.12499999999999992,0.006757644918131742,-0.00011406570609034347,0.0015264448269862098,6.072093427442274e-05
14.0,11.0,0.12499999999999992,0.006820428452508538,-1.0524565102029606e-05,0.007054556002718077,0.0006931921891064693
15.0,11.0,0.12499999999999992,0.00010164588730064331,8.716453254993183e-05,-0.001350004785152258,2.529343382712675e-05
0.0,12.0,0.0,0.0,0.0,0.0,0.0
1.0,12.0,0.0,0.0,0.0,0.0,0.0
2.0,12.0,0.0,0.0,0.0,0.0,0.0
3.0,12.0,0.0,0.0,0.0,0.0,0.0
4.0,12.0,0.0,0.0,0.0,0.0,0.0
5.0,12.0,0.0,0.0,0.0,0.0,0.0
6.0,12.0,0.0,0.0,0.0,0.0,0.0
7.0,12.0,0.0,0.0,0.0,0.0,0.0
8.0,12.0,0.12499999999999992,0.0017229791695596445,0.0019103692386847767,-1.95170379478891e-06,-0.0002500136084758505
9.0,12.0,0.12499999999999992,0.004183504416980251,-0.00045183463044228374,-0.007131250148826464,-0.002359235807330592
10.0,12.0,0.12499999999999992,0.006721861356646018,6.23128695763622e-05,0.0019165389993961533,0.0022560733359224304
11.0,12.0,0.12499999999999992,-3.3167516331984685e-05,0.00015802926508798418,-0.006093369362013329,-0.001917629340787473
12.0,12.0,0.12499999999999992,0.00637295237965121,0.024846467911475652,0.02174416781172036,0.05429020581331685
13.0,12.0,0.12499999999999992,9.303711379974005e-05,0.0007851632685821756,0.001811179618848408,5.985455983300512e-06
14.0,12.0,0.12499999999999992,0.00017853496046496353,0.0005166463690497868,-0.004973108412705763,-0.0011581993072631034
15.0,12.0,0.12499999999999992,0.00038747236147787425,0.00039469958849974686,0.010439231701999776,0.00037343186897706324
0.0,13.0,0.0,0.0,0.0,0.0,0.0
1.0,13.0,0.0,0.0,0.0,0.0,0.0
2.0,13.0,0.0,0.0,0.0,0.0,0.0
3.0,13.0,0.0,0.0,0.0,0.0,0.0
4.0,13.0,0.0,0.0,0.0,0.0,0.0
5.0,13.0,0.0,0.0,0.0,0.0,0.0
6.0,13.0,0.0,0.0,0.0,0.0,0.0
7.0,13.0,0.0,0.0,0.0,0.0,0.0
8.0,13.0,0.12499999999999992,0.0008098334410319395,-0.0006167941537074497,-0.0007921952743478425,-0.0008602600603987596
9.0,13.0,0.12499999999999992,-0.001007491095876983,-0.0003950542782926718,0.0003569068410310813,0.0002400374667617032
10.0,13.0,0.12499999999999992,7.059095206817732e-05,-0.00016870348973128818,0.0061304270320297225,0.0019370833322829854
11.0,13.0,0.12499999999999992,0.006757644918131762,-0.00011406570609034928,0.001526444826986207,6.072093427442271e-05
12.0,13.0,0.12499999999999992,9.303711379973737e-05,0.0007851632685821608,0.001811179618848398,5.985455983300788e-06
13.0,13.0,0.12499999999999992,0.019496049886957873,0.007128249958748125,0.017336369215213917,0.001471066935302261
14.0,13.0,0.12499999999999992,0.017490581964039915,0.011199266911787225,0.004028792296687298,2.06045401705896e-05
15.0,13.0,0.12499999999999992,5.930496656146134e-06,0.0001244299033322734,0.010654777514085249,0.0005594464783084355
0.0,14.0,0.0,0.0,0.0,0.0,0.0
1.0,14.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,0.0,0.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,0.0,0.0,0.0
4.0,14.0,0.0,0.0,0.0,0.0,0.0
5.0,14.0,0.0,0.0,0.0,0.0,0.0
6.0,14.0,0.0,0.0,0.0,0.0,0.0
7.0,14.0,0.0,0.0,0.0,0.0,0.0
8.0,14.0,0.12499999999999992,0.003993763241085157,-0.0009008512864995015,-0.00016432444345183364,0.0007350549418976947
9.0,14.0,0.12499999999999992,0.00022168314759724668,-0.00021962523685467377,0.00317395050195516,0.0003135137306659716
10.0,14.0,0.12499999999999992,-0.000315526630297241,-0.000728584762548037,-0.0008532997874072622,-5.858178318909738e-05
11.0,14.0,0.12499999999999992,0.0068204284525085436,-1.052456510203159e-05,0.007054556002718075,0.0006931921891064691
12.0,14.0,0.12499999999999992,0.00017853496046496174,0.0005166463690497802,-0.004973108412705762,-0.0011581993072631044
13.0,14.0,0.12499999999999992,0.01749058196403991,0.01119926691178719,0.004028792296687299,2.0604540170589632e-05
14.0,14.0,0.12499999999999992,0.02224119460583532,0.02341309877069085,0.017655987862469087,0.0007614531212201299
15.0,14.0,0.12499999999999992,4.763210585135919e-05,-7.853497391911955e-05,-0.00012170720399486224,-3.962447193492354e-06
0.0,15.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,0.0,0.0,0.0,0.0,0.0
2.0,15.0,0.0,0.0,0.0,0.0,0.0
3.0,15.0,0.0,0.0,0.0,0.0,0.0
4.0,15.0,0.0,0.0,0.0,0.0,0.0
5.0,15.0,0.0,0.0,0.0,0.0,0.0
6.0,15.0,0.0,0.0,0.0,0.0,0.0
7.0,15.0,0.0,0.0,0.0,0.0,0.0
8.0,15.0,0.12499999999999992,-0.00019374758584129513,6.5848610123008135e-06,-0.0009446316634514517,-0.00020559700279001403
9.0,15.0,0.12499999999999992,0.00014024899052683375,-3.634634259726252e-07,-0.004483995440820682,0.00012562486900216088
10.0,15.0,0.12499999999999992,0.0004057545582110364,0.00016164109170948847,0.010452230015286121,0.0005600135370700673
11.0,15.0,0.12499999999999992,0.0001016458873006433,8.716453254993168e-05,-0.0013500047851522589,2.52934338271267e-05
12.0,15.0,0.12499999999999992,0.00038747236147787403,0.00039469958849974637,0.010439231701999781,0.0003734318689770636
13.0,15.0,0.12499999999999992,5.930496656146689e-06,0.00012442990333227396,0.010654777514085213,0.0005594464783084353
14.0,15.0,0.12499999999999992,4.7632105851359024e-05,-7.853497391912077e-05,-0.00012170720399486301,-3.962447193492366e-06
15.0,15.0,0.12499999999999992,0.0001618962421782145,0.00014349560068235815,0.27520621260647926,0.00032562484062073106
