t,e0,e1,e2,e3,e4,b0,b1,b2,b3,b4
5.64,4.267024388055147e-11,1.8453166617792943e-11,9.214628243536266e-12,2.185645123209033e-13,1.6575068365647943e-14,0.9823292618278392,0.9147141670461931,0.836702007395058,0.4100662764332908,0.16815435106786233
5.65,4.0978111211731055e-11,1.7703401709592332e-11,8.835006330079749e-12,2.086672469991882e-13,1.5794784252092255e-14,0.982298209689497,0.9145696023045735,0.8364375574595928,0.40941865355086593,0.16762363387540224
5.66,3.9353117508330224e-11,1.6984185108998638e-11,8.471050011456265e-12,1.992242192030841e-13,1.5057327326634657e-14,0.9822671585327353,0.9144250604104895,0.8361731911067746,0.4087720534674908,0.16709459169602744
5.67,3.779259648868004e-11,1.629426609027699e-11,8.12210702009874e-12,1.9021621379691838e-13,1.4363001360869638e-14,0.9822361083575231,0.9142805413603303,0.8359089083101858,0.40812647456784584,0.16656721924317677
5.68,3.629398791953387e-11,1.5632445566042095e-11,7.78755258916647e-12,1.8162023978343882e-13,1.3696248045884645e-14,0.9822050591638293,0.9141360451504854,0.8356447090434176,0.40748191523916255,0.1660415112469743
5.69,3.485483339503208e-11,1.4997573946716817e-11,7.466788314544369e-12,1.734173632865813e-13,1.3082498627236605e-14,0.982174010951623,0.9139915717773451,0.8353805932800692,0.4068383738712195,0.16551746245417645
5.7,3.347277228261817e-11,1.4388549081434368e-11,7.159241042933412e-12,1.655898550280531e-13,1.2500129321485364e-14,0.9821429637208733,0.9138471212373003,0.8351165609937484,0.4061958488563385,0.16499506762811966
5.71,3.214553782944614e-11,1.3804314277759415e-11,6.8643618006404214e-12,1.581162342085165e-13,1.1929399306232263e-14,0.9821119174715489,0.9137026935267423,0.8348526121580714,0.40555433858938017,0.16447432154866787
5.72,3.087095342305949e-11,1.3243856397952102e-11,6.581624785436369e-12,1.5098615169915464e-13,1.1392753809733735e-14,0.9820808722036188,0.913558288642063,0.8345887467466624,0.4049138414677402,0.16395521901216054
5.73,2.9646929000359746e-11,1.2706204030061086e-11,6.310526381327555e-12,1.4417714433778772e-13,1.0889653043601253e-14,0.9820498279170522,0.9134139065796549,0.8343249647331541,0.4042743558913453,0.1634377548313604
5.74,2.8471457599105134e-11,1.2190425732668625e-11,6.0505842298051744e-12,1.3767935913169746e-13,1.0405611767449688e-14,0.982018784611818,0.9132695473359111,0.8340612660911878,0.40363588026264924,0.16292192383540202
5.75,2.734261204639871e-11,1.1695628352544741e-11,5.801336292970042e-12,1.3147538342846458e-13,9.969087410833305e-15,0.981987742287885,0.9131252109072254,0.8337976507944127,0.40299841298662886,0.16240772086973976
5.76,2.6258541778831737e-11,1.1220955414678948e-11,5.5623400356867574e-12,1.2555128525020348e-13,9.546765433064947e-15,0.9819567009452224,0.912980897289992,0.8335341188164868,0.4023619524707798,0.16189514079609635
5.7700000000000005,2.5217469789148703e-11,1.0765585584056468e-11,5.333171568013233e-12,1.1989802813071423e-13,9.184480219912442e-15,0.981925660583799,0.9128366064806055,0.8332706701310757,0.401726497125113,0.16138417849241174
5.78,2.4217689694493086e-11,1.0328731198082578e-11,5.113424829201111e-12,1.144970310832283e-13,8.819551080798043e-15,0.981894621203584,0.9126923384754614,0.8330073047118542,0.4010920453621505,0.16087482885279167
5.79,2.3257562921477073e-11,9.90963686779126e-12,4.902710858226865e-12,1.0934418235896042e-13,8.475757624754625e-15,0.9818635828045461,0.9125480932709557,0.8327440225325048,0.40045859559692126,0.16036708678745681
5.8,2.2335516003498247e-11,9.507578145040027e-12,4.700657069308286e-12,1.0441767062620078e-13,8.148736062221346e-15,0.9818325453866545,0.9124038708634847,0.8324808235667186,0.39982614624695756,0.15986094722269176
5.8100000000000005,2.1450037985895708e-11,9.121860252170801e-12,4.506906482628745e-12,9.971309745088013e-14,7.841686170949724e-15,0.9818015089498782,0.9122596712494456,0.8322177077881948,0.3991946957322908,0.15935640510079455
5.82,2.059967793470604e-11,8.751816868781833e-12,4.32111711692569e-12,9.521939704221552e-14,7.537430704715854e-15,0.981770473494186,0.9121154944252362,0.8319546751706413,0.3985642424754478,0.15885345538002588
5.83,1.9783042544936106e-11,8.396808973520247e-12,4.142961332096893e-12,9.092560202971785e-14,7.278454551175577e-15,0.9817394390195471,0.9119713403872544,0.8316917256877737,0.3979347849014466,0.1583520930345589
5.84,1.8998793844425545e-11,8.056223733284186e-12,3.972125201437119e-12,8.682511327535116e-14,7.035993262364093e-15,0.9817084055259303,0.9118272091318992,0.8314288593133166,0.39730632143779265,0.15785231305442887
5.8500000000000005,1.824564698951824e-11,7.72947343715674e-12,3.808307926881331e-12,8.291345534495798e-14,6.788889391883713e-15,0.9816773730133046,0.9116831006555699,0.8311660760210023,0.39667885051447466,0.15735411044548325
5.86,1.7522368148905537e-11,7.415994473707513e-12,3.651221234875844e-12,7.917417055639278e-14,6.5756026788452545e-15,0.9816463414816392,0.9115390149546663,0.8309033757845719,0.39605237056396125,0.15685748022933158
