t,e0,e1,e2,b0,b1,b2
0.013199999999999998,2.0323132989427104e-09,5.080397963549918e-08,2.0319618470320863e-07,1.3940143467113875e-06,3.4850358667784695e-05,0.00013940143467113878
0.0135,2.124836351834616e-09,5.311669232525563e-08,2.124451743613529e-07,1.4580986839310743e-06,3.645246709827687e-05,0.00014580986839310748
0.0138,2.2193633297482474e-09,5.5479478829419794e-08,2.2189433167267264e-07,1.523623118616372e-06,3.80905779654093e-05,0.0001523623118616372
0.0141,2.315889733288372e-09,5.789222496084751e-08,2.3154319417701762e-07,1.5905876507672807e-06,3.976469126918202e-05,0.00015905876507672808
0.0144,2.4144109592102227e-09,6.035481459051622e-08,2.4139129181844394e-07,1.6589922803838002e-06,4.147480700959502e-05,0.00016589922803838007
0.0147,2.5149223644916685e-09,6.286712977250726e-08,2.514381469187287e-07,1.728837007465931e-06,4.3220925186648284e-05,0.00017288370074659314
0.015,2.617419181801407e-09,6.542905069402815e-08,2.616832742233106e-07,1.8001218320136723e-06,4.500304580034182e-05,0.00018001218320136728
0.015300000000000001,2.7218965862326412e-09,6.804045562040202e-08,2.721261809961789e-07,1.8728467540270249e-06,4.682116885067563e-05,0.0001872846754027025
0.015600000000000001,2.82834964474132e-09,7.070122105938204e-08,2.8276636706062865e-07,1.9470117735059882e-06,4.8675294337649716e-05,0.00019470117735059887
0.015899999999999997,2.93677346008038e-09,7.341122163829682e-08,2.9360332478395453e-07,2.022616890450562e-06,5.0565422261264055e-05,0.00020226168904505622
0.0162,3.0471629534525776e-09,7.61703301668326e-08,3.0463653914669335e-07,2.099662104860747e-06,5.249155262151868e-05,0.0002099662104860747
0.0165,3.159513046049638e-09,7.897841769857266e-08,3.15865487786483e-07,2.1781474167365434e-06,5.4453685418413584e-05,0.00021781474167365433
0.0168,3.2738185070864118e-09,8.183535342472057e-08,3.2728964111954577e-07,2.2580728260779507e-06,5.645182065194877e-05,0.0002258072826077951
0.0171,3.3900741283176508e-09,8.474100483550739e-08,3.3890846223877064e-07,2.3394383328849687e-06,5.848595832212422e-05,0.00023394383328849687
0.0174,3.508274569902507e-09,8.769523751417375e-08,3.5072140714763364e-07,2.422243937157597e-06,6.055609842893995e-05,0.0002422243937157598
0.0177,3.6284144558456883e-09,9.06979154032172e-08,3.62727924591231e-07,2.5064896388958372e-06,6.266224097239595e-05,0.0002506489638895838
0.018,3.750488321240617e-09,9.374890064096169e-08,3.7492745628355684e-07,2.5921754380996877e-06,6.480438595249221e-05,0.00025921754380996885
0.0183,3.874490636447626e-09,9.684805366883982e-08,3.8731943687073724e-07,2.6793013347691494e-06,6.698253336922875e-05,0.000267930133476915
0.0186,4.000415778177258e-09,9.999523310283417e-08,3.999032940424387e-07,2.767867328904222e-06,6.919668322260556e-05,0.00027678673289042224
0.0189,4.128258125738595e-09,1.0319029599712267e-07,4.1267844851071163e-07,2.857873420504906e-06,7.144683551262266e-05,0.00028578734205049065
0.0192,4.258011911018498e-09,1.0643309753166706e-07,4.256443141138684e-07,2.9493196095712002e-06,7.373299023928002e-05,0.0002949319609571201
0.0195,4.389671336287795e-09,1.0972349131833788e-07,4.388002978092053e-07,3.0422058961031064e-06,7.605514740257767e-05,0.0003042205896103107
0.0198,4.52323059587897e-09,1.1306132930581543e-07,4.521457997487069e-07,3.1365322801006226e-06,7.841330700251558e-05,0.00031365322801006233
0.0201,4.658683685298707e-09,1.1644646165619199e-07,4.656802134493337e-07,3.2322987615637504e-06,8.080746903909377e-05,0.00032322987615637506
0.0204,4.796024619138327e-09,1.198787370245324e-07,4.794029256169928e-07,3.329505340492488e-06,8.323763351231222e-05,0.0003329505340492489
0.0207,4.9352473465999505e-09,1.2335800227904682e-07,4.933133164358927e-07,3.4281520168868376e-06,8.570380042217096e-05,0.0003428152016886838
0.021,5.0763457692037064e-09,1.2688410282393254e-07,5.074107593631143e-07,3.528238790746798e-06,8.820596976866996e-05,0.00035282387907467985
