t,ex,red,th
0.291,-0.0004923409261883083,-0.0020202928474243476,-0.002020292847424343
0.294,-0.0003813410032314393,-0.0019848645781467135,-0.0019848645781467087
0.297,-0.0002681150492400055,-0.0019476500647230871,-0.0019476500647230824
0.3,-0.00015280122329273428,-0.001908682797703645,-0.0019086827977036398
0.303,-3.553972199467044e-05,-0.0018679978449984936,-0.0018679978449984882
0.306,8.352808496613594e-05,-0.0018256318203189153,-0.0018256318203189103
0.309,0.00020426038434597383,-0.001781622850227501,-0.0017816228502274965
0.312,0.0003265155207724138,-0.0017360105398268168,-0.0017360105398268118
0.315,0.00045015247942678614,-0.0016888359371174846,-0.0016888359371174792
0.318,0.0005750312613630199,-0.0016401414960577525,-0.0016401414960577475
0.321,0.0007010131643441697,-0.0015899710383577982,-0.0015899710383577934
0.324,0.0008279609830588548,-0.0015383697140431472,-0.0015383697140431423
0.327,0.0009557391430588093,-0.001485383960822698,-0.0014853839608226925
0.33,0.0010842137827658462,-0.0014310614622979176,-0.0014310614622979128
0.333,0.0012132527974712207,-0.00137545110505082,-0.001375451105050816
0.336,0.0013427258584417004,-0.001318602934649341,-0.0013186029346493365
0.339,0.0014725044191094463,-0.0012605681106097057,-0.0012605681106097008
0.342,0.001602461718917681,-0.0012013988603563166,-0.001201398860356312
0.34500000000000003,0.0017324727937839974,-0.001141148432220597,-0.0011411484322205931
0.348,0.0018624145003926212,-0.0010798710475210874,-0.0010798710475210848
0.351,0.0019921655596995638,-0.0010176218517679177,-0.0010176218517679147
0.354,0.0021216066231920802,-0.0009544568650355712,-0.0009544568650355677
0.357,0.002250620363643357,-0.0008904329315485983,-0.0008904329315485955
0.36,0.002379091590397987,-0.0008256076685256514,-0.0008256076685256492
0.363,0.002506907387659265,-0.0007600394143278772,-0.0007600394143278747
0.366,0.0026339572728650714,-0.0006937871759583295,-0.0006937871759583264
0.369,0.002760133371066337,-0.0006269105759596486,-0.0006269105759596463
0.372,0.002885330600284052,-0.0005594697987577986,-0.0005594697987577968
0.375,0.0030094468621320396,-0.0004915255365001449,-0.000491525536500143
0.378,0.0031323832315603363,-0.0004231389344366196,-0.00042313893443661683
0.381,0.003254044139395941,-0.0003543715358931225,-0.0003543715358931205
0.384,0.0033743375414256125,-0.00028528522688668265,-0.00028528522688668124
0.387,0.0034931750680631856,-0.00021594218043221992,-0.00021594218043221843
0.39,0.003610472149150184,-0.00014640480059102809,-0.00014640480059102592
0.393,0.003726148109126282,-7.67356663113319e-05,-7.673566631133041e-05
0.396,0.003840126228645101,-6.99747511145762e-06,-6.997475111457244e-06
0.399,0.003952333769666787,6.274701334370158e-05,6.27470133437026e-05
0.402,0.004062701962096895,0.0001324350337221478,0.00013243503372214896
0.405,0.0041711659511246574,0.00020200387150934068,0.00020200387150934242
0.40800000000000003,0.0042776647055073926,0.00027139091944702745,0.00027139091944702767
0.41100000000000003,0.004382140888116915,0.0003405337338755494,0.0003405337338755498
0.41400000000000003,0.0044845406910766555,0.0004093700909289208,0.00040937009092892145
0.41700000000000004,0.004584813638745406,0.0004778380425321084,0.00047783804253210746
0.42000000000000004,0.004682912362620396,0.0005458759721501173,0.0005458759721501167
0.423,0.004778792352917898,0.0006134226502387139,0.0006134226502387116
