t,r0,r1,r2,r3,r4,c0,c1,c2,c3,c4
5.15,0.02074099055998338,0.016897861433700152,0.012161846477211453,0.005674737961374464,0.006564299392348261,0.020740990559983376,0.01689786143370015,0.012161846477211453,0.005674737961374488,0.006564299392348275
5.16,0.020740187258127808,0.016887083414830348,0.01214715412910917,0.0056760842329691055,0.006566854836908554,0.020740187258127804,0.016887083414830344,0.01214715412910917,0.005676084232969128,0.006566854836908569
5.17,0.020739381655181303,0.01687630864628354,0.0121324899895606,0.005677441762547658,0.006569401603983167,0.0207393816551813,0.016876308646283537,0.0121324899895606,0.005677441762547681,0.006569401603983182
5.18,0.020738573754123097,0.01686553716335175,0.012117854026812943,0.005678810411970972,0.006571939717122123,0.020738573754123094,0.016865537163351745,0.012117854026812943,0.005678810411970995,0.006571939717122139
5.19,0.020737763557929223,0.016854769001100535,0.012103246208935364,0.005680190044351238,0.006574469199965577,0.02073776355792922,0.01685476900110053,0.012103246208935364,0.00568019004435126,0.006574469199965595
5.2,0.02073695106957251,0.016844004194370165,0.012088666503821609,0.0056815805240409785,0.0065769900762400945,0.020736951069572507,0.01684400419437016,0.012088666503821609,0.005681580524041,0.006576990076240111
5.21,0.020736136292022592,0.016833242777776796,0.012074114879192644,0.005682981716622137,0.006579502369754992,0.02073613629202259,0.016833242777776793,0.012074114879192644,0.005682981716622158,0.006579502369755009
5.22,0.0207353192282459,0.016822484785713684,0.012059591302599211,0.0056843934888952735,0.006582006104398776,0.020735319228245896,0.01682248478571368,0.012059591302599211,0.005684393488895293,0.006582006104398791
5.23,0.020734499881205674,0.01681173025235235,0.012045095741424396,0.005685815708868865,0.0065845013041356225,0.02073449988120567,0.016811730252352348,0.012045095741424396,0.005685815708868884,0.00658450130413564
5.24,0.020733678253861982,0.01680097921164374,0.01203062816288617,0.005687248245748693,0.006586987993001954,0.02073367825386198,0.016800979211643738,0.01203062816288617,0.005687248245748713,0.0065869879930019705
5.25,0.02073285434917168,0.0167902316973194,0.012016188534039872,0.005688690969927348,0.00658946619510306,0.020732854349171676,0.016790231697319396,0.012016188534039872,0.005688690969927367,0.0065894661951030765
5.26,0.020732028170088467,0.016779487742892625,0.012001776821780703,0.005690143752973819,0.006591935934609804,0.020732028170088464,0.01677948774289262,0.012001776821780703,0.005690143752973838,0.006591935934609819
5.2700000000000005,0.020731199719562853,0.016768747381659642,0.011987392992846166,0.0056916064676231885,0.006594397235755385,0.02073119971956285,0.01676874738165964,0.011987392992846166,0.0056916064676232085,0.0065943972357554006
5.28,0.020730369000542162,0.0167580106467007,0.011973037013818499,0.005693078987766419,0.006596850122832169,0.02073036900054216,0.016758010646700697,0.011973037013818499,0.0056930789877664405,0.006596850122832185
5.29,0.020729536015970575,0.016747277570881274,0.011958708851127082,0.0056945611884402355,0.006599294620188584,0.020729536015970572,0.01674727757088127,0.011958708851127082,0.005694561188440257,0.0065992946201886
5.3,0.02072870076878908,0.016736548186853165,0.011944408471050801,0.0056960529458171035,0.006601730752226073,0.020728700768789077,0.016736548186853162,0.011944408471050801,0.005696052945817124,0.006601730752226089
5.3100000000000005,0.02072786326193551,0.016725822527055605,0.01193013583972041,0.005697554137195295,0.006604158543396113,0.020727863261935507,0.016725822527055602,0.01193013583972041,0.005697554137195316,0.006604158543396128
5.32,0.020727023498344547,0.01671510062371644,0.011915890923120856,0.005699064640989059,0.006606578018197299,0.020727023498344543,0.016715100623716436,0.011915890923120856,0.00569906464098908,0.006606578018197313
5.33,0.020726181480947695,0.0167043825088532,0.011901673687093587,0.0057005843367188705,0.006608989201172469,0.02072618148094769,0.016704382508853196,0.011901673687093587,0.005700584336718891,0.0066089892011724815
5.34,0.020725337212673316,0.016693668214274232,0.011887484097338818,0.005702113105001773,0.0066113921169059136,0.020725337212673313,0.01669366821427423,0.011887484097338818,0.0057021131050017946,0.006611392116905926
5.3500000000000005,0.02072449069644661,0.0166829577715798,0.011873322119417806,0.005703650827541815,0.006613786790020621,0.020724490696446607,0.016682957771579795,0.011873322119417806,0.005703650827541837,0.006613786790020634
5.36,0.02072364193518965,0.01667225121216317,0.01185918771875506,0.00570519738712057,0.006616173245175594,0.020723641935189645,0.016672251212163168,0.01185918771875506,0.005705197387120594,0.006616173245175608
5.37,0.02072279093182135,0.016661548567211745,0.011845080860640577,0.005706752667587748,0.0066185515070632086,0.020722790931821347,0.01666154856721174,0.011845080860640577,0.0057067526675877705,0.0066185515070632224
5.38,0.020721937689257473,0.016650849867708085,0.011831001510232008,0.005708316553851884,0.006620921600406636,0.02072193768925747,0.01665084986770808,0.011831001510232008,0.005708316553851906,0.006620921600406649
5.39,0.020721082210410666,0.01664015514443107,0.011816949632556828,0.005709888931871126,0.006623283549957314,0.020721082210410663,0.016640155144431068,0.011816949632556828,0.005709888931871147,0.006623283549957327
5.4,0.02072022449819042,0.01662946442795692,0.011802925192514472,0.005711469688644097,0.006625637380492477,0.020720224498190415,0.016629464427956916,0.011802925192514472,0.005711469688644118,0.00662563738049249
5.41,0.020719364555503113,0.016618777748660277,0.01178892815487847,0.005713058712200845,0.0066279831168127275,0.02071936455550311,0.016618777748660274,0.01178892815487847,0.005713058712200867,0.00662798311681274
5.42,0.02071850238525198,0.01660809513671529,0.011774958484298529,0.0057146558915938785,0.006630320783739664,0.020718502385251976,0.016608095136715288,0.011774958484298529,0.0057146558915939,0.006630320783739677
5.43,0.020717637990337146,0.01659741662209667,0.011761016145302606,0.005716261116889271,0.006632650406113567,0.020717637990337143,0.016597416622096666,0.011761016145302606,0.005716261116889292,0.00663265040611358
5.44,0.020716771373655605,0.016586742234580704,0.01174710110229898,0.005717874279157867,0.006634972008791113,0.0207167713736556,0.0165867422345807,0.01174710110229898,0.005717874279157887,0.006634972008791124
5.45,0.020715902538101235,0.016576072003746375,0.011733213319578262,0.005719495270466554,0.006637285616643155,0.02071590253810123,0.016576072003746372,0.011733213319578262,0.005719495270466574,0.006637285616643168
