t,alg,z,r,s,q,v
19.6,0.006238999677031678,0.0032135171182608425,0.5027113217391415,0.003380770889252481,0.002777610180798285,0.0033826052459032937
19.700000000000003,0.006392612580732657,0.0031748619436075785,0.5076350668072656,0.003338780004431717,0.0027452687907318736,0.0033371233347939157
19.8,0.0062160240497041224,0.0031369320996983466,0.5120200021106418,0.0032940391502485453,0.002711523504415029,0.003294475441604103
19.900000000000002,0.00592069160112808,0.0030996961449242704,0.5155582510942931,0.0032495141233372027,0.0026775223996515886,0.0032536410147485295
20.0,0.006110458301572552,0.0030649847726414835,0.518115150697662,0.003214335144505279,0.0026469844567077604,0.003213622016546548
20.1,0.006272842262646319,0.0030325219756588036,0.5196981901980786,0.0031825597978508875,0.002616625050913878,0.0031776383868277703
20.200000000000003,0.005967915029331946,0.0030011516601410253,0.5204104831452503,0.0031438390431091793,0.0025847179604195584,0.0031449915286623415
20.3,0.005675200189686269,0.00297201524280105,0.5204155503792884,0.0031091626500861346,0.0025544805434816143,0.0031142487385166775
20.400000000000002,0.006012758540402076,0.0029462137528729867,0.519927940414921,0.0030895852216055245,0.0025269151428569466,0.0030871697726832063
20.5,0.006155160900389077,0.0029212682450820236,0.5192317989580993,0.003069836543352612,0.002498669976907269,0.0030620812523562903
20.6,0.005858269666121882,0.0028957000435528117,0.5187660101538507,0.003040179437303308,0.0024670612847932766,0.003038684013504687
20.700000000000003,0.0056544670401255746,0.002872184742138552,0.5190548751290442,0.0030153393334057055,0.002435908806867267,0.003018703022215742
20.8,0.005872956182119419,0.002853202061555116,0.5201614974013349,0.003003464540197258,0.002410367358392539,0.003001323685911753
20.900000000000002,0.005989044996714551,0.002835841004352805,0.5220714516343449,0.0029925551022191767,0.0023858334083014378,0.00298634116770377
21.0,0.005868433783325239,0.002817742098975639,0.5249407076857241,0.002976527587660883,0.0023576590200559354,0.0029738901379394887
21.1,0.005817223979456826,0.0028008070423199685,0.5289384956468601,0.002962027469734287,0.0023303827801897264,0.002962139000501287
21.200000000000003,0.005779533182204903,0.002786838514510322,0.5337183214218147,0.0029528654112192074,0.002307083495247148,0.0029525466483515447
21.3,0.005822116183014145,0.0027739054026128347,0.538615527304245,0.0029460782323389254,0.0022842725625254467,0.002944753915489551
21.400000000000002,0.0059203280572091305,0.0027607076839017333,0.5430904657863325,0.002940221338269308,0.0022601880239618974,0.0029364837927402503
21.5,0.005974526725745499,0.002748644487586581,0.5468010817231583,0.0029339076524250688,0.0022366251420462783,0.0029296004347185885
21.6,0.005822495903705157,0.0027384335110000857,0.5495785358224169,0.0029242801459001657,0.002215692242110559,0.0029244474256865517
21.700000000000003,0.005728448720394038,0.002729006136081102,0.5513844978714788,0.002916559630247077,0.0021970868948301887,0.0029186344354628292
21.8,0.0058937530885221755,0.0027208530202445375,0.5522924838749896,0.002916139015894377,0.002181024456438787,0.0029131051951377406
21.900000000000002,0.005975352735845304,0.002714860729644987,0.5524908022268531,0.0029146628860945946,0.002169596844941973,0.0029080973983458902
22.0,0.00584672486773583,0.002709371976546343,0.5522852950084636,0.002905659112457843,0.0021600727195361337,0.002902901615095016
22.1,0.005719856979692924,0.0027023629028503082,0.5520440194642017,0.0028962319263576303,0.0021484711384479353,0.0028969093738084313
22.200000000000003,0.0057567510112715254,0.002695388046174991,0.5520497442384333,0.0028919335244177915,0.0021385918218968887,0.0028891087504539716
22.3,0.005802738102889234,0.0026904183674838853,0.5524807421442954,0.0028886549490779755,0.0021330040459123173,0.00288170151779058
22.400000000000002,0.005799363595877755,0.002685725843868904,0.5534941699837748,0.0028822566917398973,0.0021271727757078045,0.0028756303898426626
22.5,0.005728133979483044,0.002678886969158986,0.5552175122391236,0.002872343708687414,0.0021186539565845207,0.0028673901515006046
22.6,0.005606275719587226,0.002671434073599759,0.5577213044667543,0.0028623728888863796,0.0021103946716486497,0.0028584518206615614
22.700000000000003,0.00560020001912742,0.0026658415739406823,0.561024273860985,0.0028566188505594363,0.002105792145475046,0.0028511183793321175
22.8,0.005722879248310471,0.002661264925243243,0.5650695980802926,0.002852906161405048,0.0021030926621309924,0.002843181550716594
22.900000000000002,0.005685010502041244,0.002656002103367936,0.5695675326628534,0.0028453740959554284,0.002097168255737968,0.002836089225657962
23.0,0.005512481347725486,0.0026510635745294643,0.5739906392666907,0.00283538830988882,0.002090160049152006,0.002831038794502411
23.1,0.005505909501507963,0.002647827912274009,0.5778669354312059,0.002831422718803536,0.002087087317727985,0.002825318653850245
23.200000000000003,0.005643326039302703,0.002645508930301659,0.5809137761463938,0.00283265118992167,0.0020844446222604606,0.0028205510900933713
23.3,0.005582250561916302,0.002643537703883166,0.5830199211096911,0.002828509362759413,0.0020801437124706515,0.002818127851409485
23.400000000000002,0.005423622443580703,0.002643203791398402,0.5842231337117832,0.00282196353383243,0.0020786796930209036,0.00281632899930193
23.5,0.0054701751106567015,0.002644257776720704,0.5846940724606122,0.002823846627161781,0.002078786826004501,0.002815981970948898
23.6,0.0055652799321719015,0.0026446678680611185,0.5846972017807747,0.0028288183287594726,0.00207651477105804,0.0028163088107423747
23.700000000000003,0.005466952610283551,0.002644712200385512,0.584528369880038,0.002827467799692497,0.0020729250367647676,0.0028164877016405515
23.8,0.0053782831844350594,0.0026468656838085206,0.5844681047808764,0.0028275488692552932,0.002070779715899633,0.002819509549649518
23.900000000000002,0.005454764238595857,0.002650762399940578,0.5847666031058883,0.0028348189917485876,0.002070653105290164,0.002823961344727508
24.0,0.005486384310210058,0.0026540858075239622,0.5856319523619455,0.0028416024450868688,0.002070028742476556,0.002827694400234453
24.1,0.0054060508463684275,0.0026570658374322114,0.5872101284334188,0.002845313608657612,0.002067807225095227,0.0028330573237984715
24.200000000000003,0.00542442748486461,0.002661913512140616,0.5895676681729775,0.0028518115296704664,0.002068649167041432,0.0028396911909997695
24.3,0.005462776714085354,0.0026684884450710587,0.5926855313905472,0.002859984405804289,0.0020730256995967655,0.0028466133571778316
24.400000000000002,0.0054221470832736185,0.00267492096802467,0.5964557178306462,0.0028666293708543202,0.0020762373493347763,0.002854960326805541
24.5,0.005414521273819242,0.002681014458028405,0.6006496664942109,0.0028743984766787466,0.0020790560390652533,0.002862842314102983
24.6,0.005500794024922847,0.0026877820731159123,0.604892796587285,0.0028847061447380296,0.0020837227522808935,0.0028699081216477253
24.700000000000003,0.005483867461455389,0.0026947991834780608,0.6087558401826714,0.002891713748427921,0.0020878069424907324,0.002878241667525882
24.8,0.005373907547853919,0.002701449477953967,0.6118993750092394,0.002895716943461715,0.0020910866436832575,0.002886450257322776
24.900000000000002,0.005407366716564483,0.0027085885677619304,0.614143061244483,0.002905144808815935,0.0020961569950413983,0.002893779815355281
25.0,0.005515939630702689,0.0027164557571431065,0.6154721343860907,0.002918259287028383,0.002102683323819853,0.0029016420060708793
25.1,0.00547393679311373,0.002723653963412767,0.6160178592642991,0.0029249440963805347,0.002108023793857007,0.002909276555986144
25.200000000000003,0.005344767868546117,0.0027300979475746133,0.6160188229588139,0.0029279282678535464,0.0021117712904300274,0.0029163976577470246
25.3,0.005358209386893655,0.002737476515629696,0.6157691097679733,0.00293650558982287,0.0021172297613386176,0.002923603070910022
25.400000000000002,0.0054338766191484025,0.0027460665870556724,0.615572017343121,0.0029477810383533288,0.0021258086738111673,0.0029305195123671616
25.5,0.005412179906875646,0.002753933926795258,0.6157090682249758,0.0029549552324771673,0.0021332681452796588,0.0029372324121067234
25.6,0.005340140668659414,0.0027603416057747705,0.6164134346850911,0.002958908334275579,0.00213836996153585,0.002943254928984952
25.700000000000003,0.005305650433342962,0.002766762815046543,0.6178442918640148,0.0029636948781810355,0.002145044319214047,0.0029483992199971516
25.8,0.005311951497930849,0.002773863226072281,0.6200709154713977,0.0029704161320224243,0.002153926898357527,0.0029539483279417173
25.900000000000002,0.00533799058075693,0.0027805132616860375,0.6230675281879429,0.0029772578404310907,0.002161968586253018,0.002959346042831659
26.0,0.00533725598012955,0.0027863805393936285,0.6267103876430011,0.0029824414435062974,0.0021681689606563273,0.0029641524648149594
26.1,0.005284812378667858,0.0027924945950457444,0.6307687766779622,0.002986014925580205,0.0021741395699133546,0.002969792262339372
26.200000000000003,0.005238913478558378,0.002799383386733527,0.6349045604729282,0.002990625204203962,0.002181331408017806,0.002975932746785914
26.3,0.005275173638399867,0.002806842475414687,0.6387250329318097,0.002999028214610909,0.002189154019943352,0.0029821222435555982
26.400000000000002,0.005299753830218613,0.002815073320194715,0.6418846931945421,0.0030085056015129157,0.0021971506735409905,0.002989634865541123
26.5,0.005254646463440631,0.00282427817242872,0.6441688849104062,0.00301582386596481,0.002206407418229136,0.002998210225470472
26.6,0.005208618489254526,0.0028337162950594903,0.6455262099104959,0.0030232505137937973,0.002215562968366222,0.0030073158487474018
26.700000000000003,0.0052235379815730905,0.0028427339154611514,0.6460597911679185,0.003033267816706899,0.002223277684083878,0.003016583813200272
26.8,0.005227446929426676,0.0028520229453599956,0.6459926832275753,0.0030437356505698056,0.002231564573296229,0.003025528511048468
26.900000000000002,0.005204473190601161,0.002862023442584987,0.6456209238231132,0.003053725284335768,0.0022409140937655597,0.0030349750117779476
27.0,0.0051951317879538415,0.0028715104842777115,0.6452654678984269,0.0030633955500963786,0.002248959955495978,0.003044476832322702
27.1,0.005183376002494663,0.00287984236916167,0.6452294584375384,0.0030720968517258607,0.0022555325931687717,0.003052817047092527
27.200000000000003,0.005156873575934319,0.0028881351574236054,0.6457635893374674,0.0030808458116191196,0.0022623876825580563,0.003061367503070504
27.3,0.005174132180483609,0.0028970596753188703,0.6470399676509794,0.0030912286725518325,0.002270211335199892,0.0030707695079675613
27.400000000000002,0.00520015444212104,0.002905975753336823,0.6491347875256321,0.0031012631425312307,0.002278025200129875,0.0030800477273198153
27.5,0.005171395794436052,0.002914661709140013,0.6520211800559432,0.0031092178963132637,0.0022849695246939437,0.0030898431978445785
27.6,0.005142085409491393,0.002923760316717713,0.6555689147226694,0.0031184186648244576,0.00229232851404619,0.003100188828963387
27.700000000000003,0.005184280095502468,0.0029336943051140396,0.6595436503172453,0.0031303608815242074,0.0023013547864585574,0.0031102802574879363
27.8,0.0052070017208487645,0.0029439773339112562,0.663614890531056,0.0031415287835944417,0.002310356412774949,0.0031209856207254773
27.900000000000002,0.005158303735253257,0.0029542692390670203,0.6674017224178932,0.0031506926925600628,0.002318860031244337,0.003132195621135493
28.0,0.005136785873417029,0.0029650353569009432,0.6705569776398168,0.0031613468563629855,0.002328933816571695,0.0031430391214774273
28.1,0.005183156226096136,0.002975935892618464,0.6728469782720943,0.0031742330967256876,0.0023394278130463774,0.003153948917510046
28.200000000000003,0.005184021975565302,0.0029861315549106083,0.674194137559321,0.0031852815620202982,0.002348553599184903,0.0031646459758625685
28.3,0.005121838818833236,0.0029961071995320758,0.6746800851633752,0.0031940287099515743,0.0023576121780261835,0.0031747189359622036
28.400000000000002,0.005107351554653635,0.0030066276006461283,0.6745183314016532,0.0032046560331786228,0.0023677194297097174,0.0031847934339548863
28.5,0.005138273838392589,0.003016706968818383,0.6740081370368101,0.0032163908885696106,0.0023773204836825953,0.003194325061318213
28.6,0.005123043204009639,0.0030268075298105924,0.6734832045824992,0.0032259935088476454,0.002386813585761951,0.0032037461831949865
28.700000000000003,0.005079612173732323,0.0030371084405358137,0.6732643996723686,0.003235484035284544,0.002396480091435776,0.0032136471816793387
28.8,0.005073508726580277,0.0030471441821650312,0.6736195640611142,0.0032453016024882398,0.0024063866687323385,0.003223145823177772
28.900000000000002,0.00507688272024711,0.003056984944307281,0.6747335044598968,0.0032545169719029273,0.0024167400039981643,0.0032324290043902948
29.0,0.005066152665946503,0.0030664422991544425,0.6766903803367332,0.0032636296852144725,0.0024265010947655177,0.0032417753133010116
29.1,0.005065291200714008,0.0030756621229161424,0.6794662180966589,0.003272902057248245,0.002435899410333487,0.003250745708342813
29.200000000000003,0.0050635848872912755,0.003085048905833698,0.6829277884071583,0.003281766536385503,0.0024456180981879422,0.0032596511609307545
29.3,0.005037421329170634,0.003094594252421443,0.68683604099891,0.0032898918111717973,0.0024552901084994886,0.003268909562529449
29.400000000000002,0.005025035210797212,0.0031043289165504574,0.6908605414223209,0.00329896584184145,0.0024651163786382733,0.0032781782984242845
29.5,0.005045128531643337,0.0031144815214519594,0.6946223815307817,0.0033096193413866583,0.0024755581122845685,0.003287641063620443
