t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.11399999999999999,6.090431174412339e-06,2.418283288546413e-05,5.39974000447796e-05,9.524092954507388e-05,0.0001476091101288345,0.0002107887074261957,0.0002844596275927688,0.00036829684416556574,0.00046197217418667637,0.0005651558913239123,0.01461730566947718,0.05846922267790872,0.13155575102529465,0.2338768907116349,0.36543264173692946,0.5262230041011784,0.7162479778043819,0.9355075628465396,1.1840017592276515,1.4617305669477179
0.11699999999999999,6.325651211943048e-06,2.511572217894352e-05,5.607778915178086e-05,9.890533978006814e-05,0.00015328024042321597,0.00021887508062978827,0.0002953553760510718,0.0003823816125714492,0.0004796111162823935,0.0005866997360926856,0.015396760334677836,0.061587041338711346,0.13857084301210054,0.24634816535484538,0.3849190083669458,0.554283372048402,0.754441256399214,0.9853926614193815,1.2471375871089045,1.5396760334677833
0.12,6.561489172733291e-06,2.605152072567216e-05,5.8165684001264824e-05,0.00010258475579112122,0.00015897734294818423,0.00022700238235592036,0.0003063114772876165,0.00039655105113288263,0.0004973643018313812,0.0006083929431203869,0.01619646057559799,0.06478584230239195,0.1457681451803819,0.2591433692095678,0.4049115143899496,0.5830725807215275,0.7936265682043013,1.0365734768382713,1.3119133066234367,1.6196460575597984
0.123,6.797976628642958e-06,2.6990416406578077e-05,6.026163817648703e-05,0.00010628037881617127,0.00016470260685227053,0.00023517417194039646,0.00031733326701343555,0.00041081268238256775,0.0005152418340753929,0.0006302485521849325,0.017016406392237636,0.06806562556895054,0.15314765753013873,0.2722625022758022,0.4254101598059408,0.6125906301205547,0.8338039132196441,1.0890500091032087,1.3783289177712483,1.7016406392237633
0.126,7.035175320759003e-06,2.793271296354822e-05,6.236645339601984e-05,0.00010999382580030616,0.00017045882624160382,0.00024339480878193378,0.00032842706419492775,0.0004251751640809004,0.0005332550519441763,0.0006522808671266738,0.01785659778459678,0.07142639113838711,0.16070938006137098,0.28570556455354845,0.4464149446149193,0.6428375202454838,0.8749732914452419,1.1428222582141938,1.4463844205523386,1.7856597784596773
0.129,7.273175343763245e-06,2.8878821607077783e-05,6.448115802493332e-05,0.00011372708651721684,0.00017624932594100063,0.0002516693353239645,0.00033959999876834374,0.00043964804864832886,0.0005514162083716762,0.0006745050412578157,0.01871703475267542,0.07486813901070168,0.1684533127740788,0.2994725560428067,0.4679258688168854,0.6738132510963148,0.9171347028810957,1.1978902241712268,1.5160798149667087,1.8717034752675417
0.132,7.512092946247627e-06,2.982925110806828e-05,6.660698226805255e-05,0.00011748247506085706,0.00018207787906732102,0.00026000334942582576,0.00035085982696784834,0.00045424152972570447,0.0005697381373080105,0.0006969366559500717,0.01959771729647356,0.07839086918589425,0.17637945566826208,0.313563476743577,0.48994293241183895,0.7055178226730481,0.9602881475272045,1.254253906974308,1.5874151010143582,1.9597717296473558
0.135,7.752067960433284e-06,3.078459645607898e-05,6.874533030853014e-05,0.00012126257633164067,0.00018794861765327652,0.00026840286830829007,0.00036221473780240194,0.0004689661812058504,0.000588233917062207,0.0007195913027869973,0.0204986454159912,0.0819945816639648,0.18448780874392082,0.3279783266558592,0.5124661353997799,0.7379512349756832,1.0044336253835688,1.3119133066234367,1.660390278695287,2.0498645415991197
0.138,7.993260884340055e-06,3.174552621195279e-05,7.08977497640395e-05,0.00012507018833815542,0.00019386593786979302,0.0002768741866889675,0.00037367315475715803,0.00048383269468691494,0.0006069165381947338,0.0007424841800916282,0.02141981911122834,0.08567927644491335,0.19277837200105502,0.3427171057796534,0.5354954777807083,0.77111348800422,1.0495711364501885,1.3708684231186137,1.735005348009495,2.141981911122833
0.14100000000000001,8.235849651417531e-06,3.271276872896126e-05,7.306589893828506e-05,0.00012890826132464986,0.0001998344016751842,0.00028542373208985546,0.0003852435372106361,0.0004988516216904073,0.0006257985844338615,0.0007656297145894614,0.022361238382184973,0.08944495352873989,0.20125114543966477,0.35777981411495957,0.5590309595546242,0.8050045817586589,1.0957006807270637,1.4311192564598383,1.8112603089569823,2.236123838218497
