t,a1,a2,a3,b1,b2,b3
45.06,0.0567262455747761,-0.00012906538008883967,0.0032014163010845613,0.05789442647003568,0.04473783164456265,-0.022107151426384662
45.09,0.05301531651269949,0.00562016206781191,0.0007061483692270194,0.05383149444214111,0.050143242592148314,-0.014948226413836023
45.12,0.048166313898515986,0.011268747513976038,-0.0017965137005199541,0.04861261484376613,0.0546583405314875,-0.007574209708389449
45.15,0.04228334810734896,0.016717248560901433,-0.004271739344926273,0.04234985499265641,0.058202958121556875,-9.120685679823805e-05
45.18,0.035492725106094455,0.021869775200203796,-0.006685113707229191,0.03517769791049683,0.060714159281908535,0.007393108380402443
45.21,0.0279402346924478,0.026635677404209808,-0.009003116098474763,0.02725015450930355,0.06214735664754956,0.014771043358614887
45.24,0.019788020492711687,0.030931139950974323,-0.011193585550687847,0.01873745644676046,0.062477103235156733,0.021936436150623052
45.27,0.011211098917282648,0.0346806564247973,-0.013226166996497316,0.00982240066628526,0.06169754426428117,0.02878618312237406
45.3,0.0023936018079952974,0.03781835647019165,-0.015072731885717446,0.0006964241171384548,0.059822521111279635,0.03522172250263913
45.33,-0.006475176557675337,0.040289162968995124,-0.016707767411115466,-0.008444507056147486,0.05688532555022941,0.04115045259930506
45.36000000000001,-0.015204843241493134,0.042049758812154156,-0.018108728958062575,-0.01740410558175912,0.05293810864437619,0.04648706425542422
45.39,-0.02360799395718901,0.04306934629665682,-0.019256350909735924,-0.025989978024301624,0.04805095478347982,0.051154768372164705
45.42,-0.03150423617552901,0.04333018583489565,-0.020134911523745906,-0.034017756134420915,0.042310637307889455,0.055086400835696464
45.449999999999996,-0.03872406165563869,0.04282790455392169,-0.020732448239312327,-0.04131505587004434,0.03581907781373224,0.05822538894909735
45.48,-0.04511248526999058,0.04157156941702986,-0.02104092046739621,-0.04772517907541982,0.02869153649485849,0.06052656546318301
45.510000000000005,-0.050532372008580004,0.039583523648440644,-0.021056317649816414,-0.053110478330156724,0.021054565652734267,0.061956818493080365
45.54,-0.05486738074281289,0.03689898941043207,-0.020778711137093692,-0.05735531271337157,0.013043762710518773,0.062495567968822836
45.57,-0.058024461557760434,0.03356544379771541,-0.02021224921791393,-0.06036853101250341,0.004801362627445987,0.062135061764266676
45.6,-0.05993585304604371,0.029641779203680507,-0.01936509542477086,-0.06208542905375391,-0.0035262875388592106,0.0608804872432965
45.629999999999995,-0.06056053669192026,0.02519726290713721,-0.018249311029511772,-0.06246913912352691,-0.01179132708199032,0.05874989661826924
45.660000000000004,-0.059885117129677076,0.020310314259593544,-0.01688068341819119,-0.06151142164520431,-0.019847006971798396,0.05577394719472219
45.690000000000005,-0.05792410938596592,0.015067121059825458,-0.015278502786054141,-0.05923284211123149,-0.027550295441181708,0.05199546023999292
45.72,-0.05471962694663303,0.009560119528132686,-0.013465290310193757,-0.05568232947117111,-0.03476441757140692,0.04746880482323958
45.75,-0.050340477351592514,0.003886364687591414,-0.011466481629515777,-0.05093612545865458,-0.041361283784624836,0.04225911549285607
45.779999999999994,-0.04488068474022783,-0.001854180118242667,-0.009310070079788412,-0.04509614741879981,-0.04722376412474024,0.03644135504820883
45.81,-0.03845747107163537,-0.007560404426069147,-0.007026214687210708,-0.03828779979182877,-0.05224776794588392,0.03009923589157694
45.84,-0.03120873936465932,-0.013131831542512438,-0.004646818409425369,-0.030657281247868328,-0.05634409208279937,0.02332401548108251
45.87,-0.023290112992650804,-0.018470387755518777,-0.002205082521545797,-0.02236844529802392,-0.05944000468815167,0.01621318321697312
45.9,-0.014871594597733174,-0.023482128715044164,0.00026495662904899703,-0.013599281795217629,-0.06148053661510366,0.008869057655795704
45.93,-0.006133916354504731,-0.028078892593899493,0.0027289020361326915,-0.004538094879084847,-0.062429457416153473,0.0013973142373032053
45.96,0.0027353400617162772,-0.03217985093785367,0.005152475004141873,0.0046205405623851985,-0.06226991862899002,-0.0060945352912047095
45.99,0.011545770504006507,-0.035712929924242826,0.007501992004704415,0.013679957085771221,-0.06100475292757271,-0.013498689873374502
46.02,0.020108235927499947,-0.03861607703837047,0.00974483278701221,0.02244561781951314,-0.05865642382689041,-0.020708610305191787
46.05,0.028238922756051495,-0.04083835090644007,0.011849893237027053,0.03072929384049021,-0.05526662683441134,-0.027620552239440658
46.080000000000005,0.03576328887546093,-0.04234081514444689,0.013788016699060036,0.038353106097222874,-0.050895549129936886,-0.03413505897465761
46.11000000000001,0.04251981054317913,-0.04309722053930004,0.015532397779076921,0.045153345085687586,-0.04562080091853503,-0.040158392548673705
46.14,0.048363449779283016,-0.04309446361047444,0.017058953037813587,0.05098398625615073,-0.039536037430802515,-0.04560388254458083
46.17,0.05316876780507904,-0.042332813541907856,0.01834665344794744,0.055719825663130454,-0.032749296037383566,-0.05039317320100288
46.199999999999996,0.0568326176951188,-0.0408259035551884,0.019377814026600867,0.05925916852528333,-0.025381078002931375,-0.0544573508818635
46.230000000000004,0.05927635844251973,-0.03860048694441072,0.020138336654808957,0.0615260129625761,-0.017562208938725742,-0.05773793568236241
46.260000000000005,0.06044754291232459,-0.03569596213732556,0.020617902750852186,0.06247168201838513,-0.009431515942452773,-0.060187722902831586
46.29,0.06032104345260992,-0.03216367521358847,0.020810113165361854,0.06207586892138873,-0.001133362668444104,-0.061771462282410476
46.32,0.058899591005680166,-0.028066012227445557,0.020712573403055344,0.060347073141879884,0.007184913905826259,-0.06246636521897118
46.35,0.056213716152775844,-0.02347529738015187,0.02032692303855927,0.05732241787886856,0.015375619505767773,-0.06226243267684974
46.38,0.0523210933649772,-0.018472516501743055,0.019658808971394603,0.05306685289715419,0.023293324929650132,-0.061162599064082786
46.410000000000004,0.04730530254476387,-0.013145888372429226,0.01871780294699559,0.04767175983220151,0.030797448201319886,-0.05918269000888378
46.440000000000005,0.04127403445195893,-0.007589309086878101,0.01751726454572999,0.041252989911727246,0.037754750658519104,-0.05635119464291803
46.47,0.03435677854599849,-0.0019006968930453724,0.01607415159950359,0.033948376230872754,0.04404170265777556,-0.05270885566801769
46.5,0.026702042887350064,0.0038197333181176577,0.014408780725143004,0.025914774000981956,0.04954667689184295,-0.04830808310491232
46.53000000000001,0.018474165785933284,0.009471235465379967,0.01254454135523126,0.017324692328036108,0.054171930376476794,-0.04321220015960989
46.56,0.009849787647950765,0.014954306571121607,0.010507567290837528,0.008362589848061791,0.05783533991559062,-0.03749453205874065
46.59,0.0010140587664900138,0.020172438648496514,0.00832637038772311,-0.000779086235022897,0.060471860230925566,-0.03123735096471353
46.62,-0.007843335530952771,0.025033817337628668,0.006031441510006879,-0.009904032653625813,0.062034678866567265,-0.024530692152418224
46.65,-0.01653224704490732,0.029452937393317204,0.0036548243357279863,-0.018816305383664828,0.06249604736252561,-0.017471058481638175
46.68000000000001,-0.02486614675518667,0.03335210659966095,0.0012296679710549546,-0.02732452723755656,0.061847773939563526,-0.010160031806664924
46.71,-0.03266612912857084,0.03666281166007715,-0.0012102353810469176,-0.03524599739149822,0.0601013689474615,-0.002702811303695488
46.74,-0.039764752720529546,0.039326922049490794,-0.003630921250004152,-0.042410614601339436,0.057287840494226853,0.004793300251817643
46.77,-0.04600963462400043,0.04129771067593867,-0.005998725665033463,-0.048664529862088544,0.053457143884931516,0.01222044047674019
46.8,-0.05126672160355067,0.04254067343096692,-0.008280753280526658,-0.05387345007587468,0.0486772946456084,0.019471739424086986
46.830000000000005,-0.05542316769498165,0.04303413325498031,-0.010445334350202501,-0.05792552178723741,0.0430331608808163,0.026442857346578703
46.86000000000001,-0.05838975649954852,0.04276961814257235,-0.01246246420231319,-0.06073373306201621,0.03662495640703991,0.033033486052873526
46.89,-0.060102816177057004,0.04175200649685802,-0.014304219117868364,-0.06223778193322844,0.02956646141693472,0.03914879225329191
46.92,-0.06052558603330342,0.039999437340733024,-0.015945142848122762,-0.06240537129196827,0.021983002267223384,0.04470078212657224
46.949999999999996,-0.05964900537082109,0.037542987034579374,-0.017362598421731046,-0.06123290241755961,0.014009226259904493,0.04960956747275451
46.980000000000004,-0.05749190767492292,0.03442611826128207,-0.01853708038016432,-0.0587455522544823,0.005786710926409394,0.053804515233377294
47.010000000000005,-0.054100615973317535,0.030703911048121466,-0.019452483135342,-0.05499673277666981,-0.0025385497371922783,0.05722526383841411
47.04,-0.0495479480630552,0.026442089430600356,-0.020096321758167633,-0.05006694404848882,-0.010818737451055018,0.059822591755619846
47.07,-0.043931652967252724,0.02171586095805797,-0.020459902172155715,-0.04406204561113128,-0.018906834223296327,0.06155912574463432
47.1,-0.03737231219398705,0.016608589531781938,-0.02053843843328928,-0.03711098331370614,-0.02665923271230782,0.06240987862469566
47.13,-0.030010750858821978,0.011210324995391405,-0.020331115515778108,-0.029363020401795448,-0.0339382860316283,0.06236260881796417
47.160000000000004,-0.022005014254005285,0.005616215413051108,-0.0198410967831864,-0.02098453232153924,-0.04061475172458974,0.061417996494947814
