t,e0,e1,e2,b0,b1,b2
0.0684,4.191426300474416e-05,0.00020936792885998802,0.0004182155354734545,0.008652284475924206,0.04326142237962102,0.08652284475924205
0.0687,4.206144647511532e-05,0.0002101014007235797,0.0004196762292658187,0.00869023309204668,0.0434511654602334,0.0869023309204668
0.069,4.220822861886718e-05,0.0002108328493617619,0.0004211328343215955,0.008728181708169153,0.04364090854084578,0.08728181708169155
0.0693,4.235460882648373e-05,0.0002115622717265656,0.0004225853445457616,0.008766130324291629,0.04383065162145815,0.0876613032429163
0.0696,4.250058649689707e-05,0.00021228966481295076,0.0004240337539309207,0.008804078940414102,0.04402039470207052,0.08804078940414103
0.0699,4.264616103749455e-05,0.00021301502565884226,0.0004254780565573729,0.008842027556536578,0.04421013778268289,0.08842027556536577
0.0702,4.2791331864125946e-05,0.00021373835134516568,0.00042691824659318823,0.008879976172659051,0.044399880863295264,0.08879976172659053
0.07050000000000001,4.293609840111034e-05,0.00021445963899588159,0.00042835431829427363,0.008917924788781527,0.04458962394390764,0.08917924788781528
0.0708,4.308046008124305e-05,0.00021517888577802054,0.00042978626600444426,0.008955873404904002,0.04477936702452001,0.08955873404904002
0.0711,4.322441634580219e-05,0.0002158960889017157,0.00043121408415548924,0.008993822021026476,0.04496911010513238,0.08993822021026476
0.0714,4.336796664455544e-05,0.0002166112456202368,0.00043263776726723806,0.009031770637148951,0.04515885318574475,0.0903177063714895
0.0717,4.351111043576646e-05,0.0002173243532300222,0.0004340573099476262,0.009069719253271425,0.045348596266357136,0.09069719253271427
0.072,4.3653847186201234e-05,0.00021803540907071092,0.00043547270689275896,0.009107667869393899,0.0455383393469695,0.091076678693939
0.07229999999999999,4.3796176371134364e-05,0.00021874441052517399,0.0004368839528869747,0.009145616485516374,0.04572808242758187,0.09145616485516374
0.0726,4.393809747435515e-05,0.00021945135501954505,0.0004382910428029066,0.009183565101638848,0.04591782550819424,0.09183565101638848
0.07289999999999999,4.407960998817369e-05,0.00022015624002325122,0.00043969397160154396,0.009221513717761323,0.04610756858880662,0.09221513717761325
0.0732,4.422071341342674e-05,0.00022085906304904204,0.000441092734332291,0.009259462333883797,0.04629731166941899,0.09259462333883799
0.0735,4.436140725948355e-05,0.00022155982165301903,0.00044248732613302644,0.009297410950006272,0.04648705475003136,0.09297410950006273
