t,e,b,l
1.212,0.04424281701880432,0.23354044613998856,0.01986675209557779
1.2149999999999999,0.04399119100544379,0.23270121206159838,0.019795360370242366
1.2180000000000002,0.04374131290979901,0.23186499379417352,0.019724225193054407
1.221,0.04349312986253218,0.2310317805003137,0.01965334564210103
1.224,0.043246589233001086,0.23020156138156286,0.019582720798782264
1.2269999999999999,0.04300163937117322,0.22937432567826962,0.019512349747799144
1.2299999999999998,0.04275823023694074,0.2285500626694477,0.019442231577141866
1.233,0.042516313909466766,0.2277287616726368,0.01937236537807795
1.236,0.042275844986012126,0.22691041204376478,0.01930275024514049
1.2389999999999999,0.042036780895265274,0.22609500317700887,0.019233385276116385
1.2419999999999998,0.04179908216141717,0.22528252450465874,0.019164269572034667
1.245,0.04156271265948264,0.22447296549697932,0.01909540223715483
1.248,0.04132763989828186,0.22366631566207473,0.01902678237895527
1.251,0.0410938353553065,0.22286256454575176,0.018958409108121656
1.2539999999999998,0.04086127486942741,0.22206170173138465,0.01889028153853544
1.2570000000000001,0.0406300170219185,0.22126371683978005,0.01882239878726236
1.26,0.040400427413535,0.22046859952904277,0.018754759974541024
1.263,0.0401719408512367,0.21967633949444124,0.01868736422377146
1.2659999999999998,0.0399445472779484,0.21888692646827432,0.018620210661503808
1.2690000000000001,0.03971824295182405,0.21810035021973803,0.018553298417426936
1.272,0.03949303015692782,0.21731660055479343,0.018486626624357252
1.275,0.0392689167692494,0.21653566731603374,0.018420194418227374
1.2779999999999998,0.03904591569038836,0.21575754038255326,0.01835400093807498
1.2810000000000001,0.03882404416843617,0.214982209669816,0.018288045326031635
1.284,0.03860332303173869,0.2142096651295252,0.018222326727311697
1.287,0.038383775865955566,0.2134398967494927,0.018156844290201198
1.2899999999999998,0.03816609364767434,0.21267289455350957,0.018091597166046837
1.2930000000000001,0.03794990397318783,0.21190864860121653,0.018026584509244964
1.296,0.03773512643884637,0.21114714898797546,0.017961805477230655
1.299,0.03752178376991106,0.21038838584474068,0.017897259230466738
