t,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
0.06,7.4662193135105e-07,2.9517087394710122e-06,6.5621144680673025e-06,1.1523594215656524e-05,1.7781054402089673e-05,2.5278795815386386e-05,3.3960748358139814e-05,4.3770696505046485e-05,5.465249459157224e-05,6.655027115364005e-05,0.005775644012056533,0.02310257604822613,0.051980796108508795,0.09241030419290452,0.14439110030141328,0.20792318443403512,0.28300655659077006,0.3696412167716181,0.467827164976579,0.5775644012056531
0.063,8.018750049503158e-07,3.167093014370263e-06,7.034075341577631e-06,1.2340201688942257e-05,1.902211357750767e-05,2.7016006724533643e-05,3.625791106564287e-05,4.668395726640748e-05,5.823062871909472e-05,7.083499817306603e-05,0.006367647523292325,0.0254705900931693,0.05730882770963092,0.1018823603726772,0.1591911880823081,0.22923531083852364,0.3120147286413239,0.4075294414907088,0.5157794493866782,0.6367647523292324
0.066,8.566210135706086e-07,3.380022131401939e-06,7.499593172639163e-06,1.3143799808330741e-05,2.0240545052467393e-05,2.8717514724803148e-05,3.85025053770358e-05,4.952373339358549e-05,6.171012418696962e-05,7.499158062648548e-05,0.006988529254588402,0.027954117018353607,0.06289676329129563,0.11181646807341443,0.17471323136471004,0.25158705316518243,0.34243793347483176,0.4472658722936577,0.5660708696216605,0.6988529254588401
0.069,9.106200189213966e-07,3.5895590068386575e-06,7.956617095795341e-06,1.3930856196807066e-05,2.1431023800534184e-05,3.0375954494566586e-05,4.068494753094747e-05,5.227811907916198e-05,6.507672808579315e-05,7.900347495629508e-05,0.007638289205944763,0.030553156823779053,0.06874460285350287,0.12221262729511621,0.19095723014861904,0.2749784114140114,0.3742761710912934,0.48885050918046485,0.6187014256815258,0.7638289205944762
0.072,9.636491947083234e-07,3.794838993173639e-06,8.403267919131143e-06,1.469815852670525e-05,2.2588746996539584e-05,3.1984742808687454e-05,4.279675674015591e-05,5.49366958350663e-05,6.831812437371341e-05,8.285659024437719e-05,0.008316927377361406,0.033267709509445624,0.07485234639625264,0.1330708380377825,0.20792318443403507,0.2994093855850105,0.40752944149070885,0.53228335215113,0.6736711175662737,0.8316927377361403
0.075,1.0155027280170127e-06,3.995068963814251e-06,8.837834875192412e-06,1.544280662868902e-05,2.3709418442726103e-05,3.353805161344139e-05,4.483051277664733e-05,5.7490470182712046e-05,7.14238472445359e-05,8.653917308324135e-05,0.00902444376883833,0.03609777507535332,0.08121999391954497,0.14439110030141328,0.2256110942209582,0.32487997567817983,0.4421977446730782,0.5775644012056531,0.7309799452759046,0.9024443768838328
0.078,1.0659915776313136e-06,4.189525910608389e-06,9.258771515772281e-06,1.6162203596177046e-05,2.4789232373736382e-05,3.503078177028185e-05,4.677981684501079e-05,5.993181903424003e-05,7.43852088308915e-05,9.004171609641299e-05,0.00976083838037554,0.03904335352150216,0.08784754542337986,0.15617341408600863,0.24402095950938843,0.3513901816935193,0.47828108063840136,0.6246936563440345,0.7906279088104184,0.9760838380375537
0.081,1.1149431612607768e-06,4.3775553717694e-06,9.66469152504425e-06,1.68540473558211e-05,2.582485905463508e-05,3.64585410502989e-05,4.86392606593136e-05,6.225444906987204e-05,7.719524882550783e-05,9.335689861514604e-05,0.010526111211973029,0.042104444847892115,0.09473500090775727,0.16841777939156846,0.26315278029932565,0.3789400036310289,0.5157794493866784,0.6736711175662738,0.8526150081698153,1.0526111211973026
0.084,1.1622010393857133e-06,4.558569977324157e-06,1.005436513220936e-05,1.7516323948745653e-05,2.681343412183437e-05,3.7817629113369744e-05,5.0404407207290674e-05,6.445337414281516e-05,7.984871016253936e-05,9.6479563023142e-05,0.011320262263630804,0.045281049054523216,0.10188236037267724,0.18112419621809286,0.28300655659077,0.4075294414907088,0.5546928509179093,0.7244967848723715,0.916941243354095,1.13202622636308
0.087,1.2076246547801006e-06,4.7320483582074715e-06,1.0426716675267818e-05,1.814730347371541e-05,2.7752553047502818e-05,3.910503120305614e-05,5.207178504630024e-05,6.652491221658733e-05,8.234204119143392e-05,9.940672505130043e-05,0.012143291535348856,0.048573166141395424,0.10928962381813973,0.1942926645655817,0.30358228838372137,0.43715849527255873,0.595021285232094,0.7771706582623268,0.9836066143632572,1.2143291535348855
