t,alg,randcom,rand,rcps,rcms,rps,rms
9.690000000000001,0.02927516586665735,0.004586242027173555,0.6628156104530208,0.005770746968331056,0.003401737086016054,0.9572985490087931,0.3683326718972486
9.719999999999999,0.029265394505459095,0.004592043809706843,0.6645243652881161,0.005776462722684067,0.003407624896729619,0.960209806269261,0.3688389243069712
9.75,0.02925563563361477,0.0045978542952640694,0.6663611032064394,0.005782201471284905,0.003413507119243234,0.9632793315439945,0.3694428748688842
9.78,0.029245871382190737,0.004603671033978072,0.6683836379335577,0.005787960069618257,0.003419381998337887,0.9665407153177825,0.37022656054933284
9.81,0.029236093344879477,0.004609530581587851,0.6706309631751193,0.005793776503774467,0.0034252846594012357,0.9700134737628126,0.37124845258742606
9.840000000000002,0.029226305556771595,0.004615417150467584,0.6731124426060222,0.005799627047168703,0.003431207253766465,0.9736952217147827,0.3725296634972617
9.87,0.029216518294118754,0.004621307565782195,0.6758034980606511,0.005805492966274148,0.0034371221652902424,0.9775574503596376,0.3740495457616646
9.9,0.029206739609637225,0.0046272028120058475,0.6786489370794037,0.005811376697500224,0.0034430289265114707,0.9815468122883031,0.37575106187050417
9.93,0.02919697167668333,0.004633107138264814,0.681573320479263,0.005817282667158351,0.0034489316093712762,0.9855925286770844,0.3775541122814417
9.96,0.029187213189003608,0.004639016857201845,0.6844961058744085,0.005823208355197243,0.0034548253592064475,0.9896190384345629,0.37937317331425396
9.99,0.029177463390273686,0.004644929300127869,0.6873475706478829,0.005829150947521259,0.0034607076527344784,0.993560730359168,0.38113441093659767
10.02,0.029167722919414156,0.004650844504514329,0.690077580544734,0.005835109472806383,0.003466579536222275,0.9973681190630526,0.3827870420264155
10.049999999999999,0.029157991109753346,0.004656763449638707,0.6926554307308808,0.005841084383692446,0.0034724425155849684,1.00100413835642,0.3843067231053413
10.08,0.029148263642487345,0.004662691305331639,0.6950735373290456,0.005847079372149084,0.0034783032385141944,1.0044533435001788,0.3856937311579125
10.110000000000001,0.029138534177335487,0.004668647420463347,0.6973451891594419,0.005853106428361403,0.003484188412565291,1.0077256001642256,0.386964778154658
10.14,0.029128799268636762,0.004674604851839705,0.699494098518439,0.005859149156946505,0.003490060546732905,1.0108476474556822,0.38814054958119576
10.17,0.029119062043924587,0.004680562671162763,0.7015438629204623,0.00586520622287123,0.0034959191194542955,1.0138534246610855,0.38923430117983926
10.2,0.029109330714879363,0.004686545058392381,0.7035111980409512,0.005871291299286799,0.003501798817497962,1.0167766574406965,0.3902457386412059
10.23,0.029099612583711403,0.004692542158038449,0.7054066193033682,0.005877398672640645,0.0035076856434362517,1.0196462198985028,0.3911670187082337
10.26,0.02908990847285811,0.004698589192383218,0.7072368875155646,0.005883549786479489,0.0035136285982869473,1.0224866544893607,0.39198712054176843
10.290000000000001,0.02908021236636545,0.004704652517553352,0.7089991409806644,0.005889725485335272,0.003519579549771431,1.0253262783233088,0.39267200363802
